happiness,'HH AE P IY N AH S',s,'AE IY'
bribes,'B r ə IH B Z',s,'IH'
of,'AH V',s,''
and,'AH N D',s,''
being,'B IY IH NG',s,'IY IH'
the,'DH AH',s,''
by,'B AY',s,'AY'
means,'M IY N Z',s,'IY'
whereof,'ʍ EH R ɒ V',s,''
his,'HH IH Z',s,'IH'
hath,'HH AE TH',s,'AE'
lost,'L AO S T',s,'AO'
in,'IH N',s,'IH'
your,'Y AO R',s,'AO'
you,'Y UW',s,'UW'
did,'D IH D',s,'IH'
for,'F AO R',s,'AO'
offenders,'ǝ F e N D ǝ R Z',s,''
never,'N e V ǝ R',s,''
of,'AH V',s,''
that,'DH AE T',s,'AE'
england,'IH NG G L AH N D',s,'IH'
was,'W AA Z',s,'AA'
by,'B AY',s,'AY'
tyrannny,'T IH r ǝ N ǝ IH',s,'IH IH'
so,'S OW',s,''
that,'DH AE T',s,'AE'
by,'B AY',s,'AY'
this,'DH IH S',s,'IH'
you,'Y UW',s,'UW'
not,'N AA T',s,'AA'
him,'HH IH M',s,'IH'
york,'Y AO R K',s,'AO'
that,'DH AE T',s,'AE'
hath,'HH AE TH',s,'AE'
reason,'r EH Z ǝ N',s,''
for,'F AO R',s,'AO'
his,'HH IH Z',s,'IH'
death,'D EH TH',s,''
but,'B AH T',s,''
my,'M AY',s,'AY'
lord,'L AO R D',s,'AO'
cardinal,'K AA R D AH N AH L',s,'AA'
and,'AH N D',s,''
you,'Y UW',s,'UW'
my,'M AY',s,'AY'
lord,'L AO R D',s,'AO'
of,'AH V',s,''
as,'AE Z',s,'AE'
you,'Y UW',s,'UW'
think,'TH IH NG K',s,'IH'
and,'AH N D',s,''
speak,'S P IY K',s,'IY'
it,'IH T',s,'IH'
from,'F R AH M',s,''
your,'Y AO R',s,'AO'
souls,'S OW L Z',s,''
wre,'W ER',s,''
not,'N AA T',s,'AA'
all,'AA L',s,'AA'
an,'AE N',s,'AE'
empty,'e M T ǝ IH',s,'IH'
wre,'W ER',s,''
set,'S EH T',s,''
to,'T UW',s,'UW'
guard,'G AA R D',s,'AA'
the,'DH AH',s,''
chicken,'CH IH K AH N',s,'IH'
from,'F R AH M',s,''
a,'AH',s,''
hungry,'ɤ NG G r ǝ IH',s,'IH'
as,'AE Z',s,'AE'
for,'F AO R',s,'AO'
the,'DH AH',s,''
and,'AH N D',s,''
i,'AY',s,'AY'
and,'AH N D',s,''
we,'W IY',s,'IY'
it,'IH T',s,'IH'
it,'IH T',s,'IH'
not,'N AA T',s,'AA'
greatly,'G R EY T L IY',s,'EY IY'
who,'HH UW',s,'UW'
impugns,'IH M P Y UW N Z',s,'IH UW'
our,'OW R',s,''
doom,'D ɤ M',s,''
that,'DH AE T',s,'AE'
be,'B IY',s,'IY'
sent,'S EH N T',s,''
as,'AE Z',s,'AE'
regent,'R IY JH AH N T',s,'IY'
meet,'M IY T',s,'IY'
that,'DH AE T',s,'AE'
ruler,'r UW L ǝ R',s,'UW'
be,'B IY',s,'IY'
witness,'W IH T N AH S',s,'IH'
the,'DH AH',s,''
he,'HH IY',s,'IY'
hath,'HH AE TH',s,'AE'
had,'HH AE D',s,'AE'
in,'IH N',s,'IH'
no,'N OW',s,''
not,'N AA T',s,'AA'
to,'T UW',s,'UW'
it,'IH T',s,'IH'
all,'AA L',s,'AA'
as,'AE Z',s,'AE'
thou,'DH AW',s,''
hast,'HH AE S T',s,'AE'
i,'AY',s,'AY'
lost,'L AO S T',s,'AO'
my,'M AY',s,'AY'
betimes,'B IH T ə IH M Z',s,'IH IH'
than,'DH AE N',s,'AE'
a,'AH',s,''
burden,'B ɐ R DH ə N',s,''
of,'AH V',s,''
hme,'OW M',s,''
by,'B AY',s,'AY'
so,'S OW',s,''
till,'T IH L',s,'IH'
all,'AA L',s,'AA'
wre,'W ER',s,''
lost,'L AO S T',s,'AO'
me,'M IY',s,'IY'
on,'AA N',s,'AA'
skin,'S K IH N',s,'IH'
flesh,'F L EH SH',s,''
preserved,'P r IH Z ɐ R V IH D',s,'IH IH'
so,'S OW',s,''
do,'D OW',s,''
seldom,'S EH L D AH M',s,''
win,'W IH N',s,'IH'
what,'W AH T',s,''
than,'DH AE N',s,'AE'
then,'DH EH N',s,''
a,'AH',s,''
all,'AA L',s,'AA'
i,'AY',s,'AY'
will,'W IH L',s,'IH'
my,'M AY',s,'AY'
lord,'L AO R D',s,'AO'
so,'S OW',s,''
his,'HH IH Z',s,'IH'
majesty,'M AE JH AH S T IY',s,'AE IY'
i,'AY',s,'AY'
am,'AE M',s,'AE'
content,'K ǝ N T e N T',s,''
me,'M IY',s,'IY'
lords,'L AO R D Z',s,'AO'
i,'AY',s,'AY'
order,'AO R D ǝ R',s,'AO'
for,'F AO R',s,'AO'
affairs,'AH F EH R Z',s,''
my,'M AY',s,'AY'
lord,'L AO R D',s,'AO'
of,'AH V',s,''
within,'W IH DH IH N',s,'IH IH'
fourteen,'F AO R T IY N',s,'AO IY'
at,'AE T',s,'AE'
i,'AY',s,'AY'
my,'M AY',s,'AY'
for,'F AO R',s,'AO'
ship,'SH IH P',s,'IH'
them,'DH EH M',s,''
all,'AA L',s,'AA'
for,'F AO R',s,'AO'
york,'Y AO R K',s,'AO'
or,'AO R',s,'AO'
never,'N e V ǝ R',s,''
steel,'S T IY L',s,'IY'
fearful,'F IH R F AH L',s,'IH'
and,'AH N D',s,''
misdoubt,'M IH S D ǝ UH T',s,'IH UH'
to,'T UW',s,'UW'
be,'B IY',s,'IY'
that,'DH AE T',s,'AE'
thou,'DH AW',s,''
to,'T UW',s,'UW'
be,'B IY',s,'IY'
or,'AO R',s,'AO'
what,'W AH T',s,''
thou,'DH AW',s,''
art,'AA R T',s,'AA'
resign,'r IH S ǝ IH N',s,'IH IH'
to,'T UW',s,'UW'
death,'D EH TH',s,''
it,'IH T',s,'IH'
is,'IH Z',s,'IH'
not,'N AA T',s,'AA'
worth,'W AO R TH',s,'AO'
enjoying,'e N D ZH ǝ IH IH N',s,'IH IH'
let,'L EH T',s,''
fear,'F IY R',s,'IY'
keep,'K IY P',s,'IY'
with,'W IH DH',s,'IH'
the,'DH AH',s,''
man,'M AE N',s,'AE'
and,'AH N D',s,''
no,'N OW',s,''
in,'IH N',s,'IH'
a,'AH',s,''
heart,'HH AA R T',s,'AA'
than,'DH AE N',s,'AE'
on,'AA N',s,'AA'
and,'AH N D',s,''
not,'N AA T',s,'AA'
a,'AH',s,''
but,'B AH T',s,''
thinks,'TH IH NG K S',s,'IH'
on,'AA N',s,'AA'
dignity,'D IH G N AH T IY',s,'IH IY'
my,'M AY',s,'AY'
brain,'B r EH N',s,''
than,'DH AE N',s,'AE'
the,'DH AH',s,''
to,'T UW',s,'UW'
trap,'T R AE P',s,'AE'
enemies,'EH N AH M IY Z',s,'IY'
well,'W EH L',s,''
nobles,'N OW B AH L Z',s,''
well,'W EH L',s,''
to,'T UW',s,'UW'
send,'S EH N D',s,''
me,'M IY',s,'IY'
with,'W IH DH',s,'IH'
an,'AE N',s,'AE'
of,'AH V',s,''
men,'M EH N',s,''
i,'AY',s,'AY'
fear,'F IY R',s,'IY'
me,'M IY',s,'IY'
you,'Y UW',s,'UW'
but,'B AH T',s,''
warm,'W AA R M',s,'AA'
the,'DH AH',s,''
who,'HH UW',s,'UW'
in,'IH N',s,'IH'
your,'Y AO R',s,'AO'
breasts,'B R EH S T S',s,''
will,'W IH L',s,'IH'
your,'Y AO R',s,'AO'
hearts,'HH AA R T S',s,'AA'
men,'M EH N',s,''
i,'AY',s,'AY'
and,'AH N D',s,''
you,'Y UW',s,'UW'
will,'W IH L',s,'IH'
them,'DH EH M',s,''
me,'M IY',s,'IY'
i,'AY',s,'AY'
it,'IH T',s,'IH'
yet,'Y EH T',s,''
be,'B IY',s,'IY'
well,'W EH L',s,''
you,'Y UW',s,'UW'
put,'P UH T',s,'UH'
sharp,'SH AA R P',s,'AA'
weapons,'W EH P AH N Z',s,''
in,'IH N',s,'IH'
a,'AH',s,''
i,'AY',s,'AY'
in,'IH N',s,'IH'
nourish,'N ɤ r IH SH',s,'IH'
a,'AH',s,''
mighty,'M ǝ IH T ǝ IH',s,'IH IH'
band,'B AE N D',s,'AE'
i,'AY',s,'AY'
will,'W IH L',s,'IH'
stir,'S T ɐ R',s,''
up,'AH P',s,''
in,'IH N',s,'IH'
england,'IH NG G L AH N D',s,'IH'
black,'B L AE K',s,'AE'
storm,'S T AO R M',s,'AO'
shall,'SH AE L',s,'AE'
ten,'T EH N',s,''
souls,'S OW L Z',s,''
to,'T UW',s,'UW'
heaven,'HH EH V AH N',s,''
or,'AO R',s,'AO'
and,'AH N D',s,''
this,'DH IH S',s,'IH'
fell,'F EH L',s,''
tempest,'T EH M P AH S T',s,''
shall,'SH AE L',s,'AE'
not,'N AA T',s,'AA'
to,'T UW',s,'UW'
until,'AH N T IH L',s,'IH'
the,'DH AH',s,''
golden,'G OW L D ǝ N',s,''
on,'AA N',s,'AA'
my,'M AY',s,'AY'
to,'T UW',s,'UW'
the,'DH AH',s,''
transparent,'T r AW N S P AW r ǝ N T',s,''
beams,'B IY M Z',s,'IY'
do,'D OW',s,''
the,'DH AH',s,''
of,'AH V',s,''
this,'DH IH S',s,'IH'
and,'AH N D',s,''
for,'F AO R',s,'AO'
a,'AH',s,''
minister,'M IH N IH S T ǝ R',s,'IH IH'
of,'AH V',s,''
my,'M AY',s,'AY'
intent,'IH N T EH N T',s,'IH'
i,'AY',s,'AY'
a,'AH',s,''
of,'AH V',s,''
to,'T UW',s,'UW'
as,'AE Z',s,'AE'
full,'F UH L',s,'UH'
well,'W EH L',s,''
he,'HH IY',s,'IY'
can,'K AE N',s,'AE'
under,'ɤ N D ǝ R',s,''
the,'DH AH',s,''
of,'AH V',s,''
mortimer,'M AO R T IH M ǝ R',s,'AO IH'
in,'IH N',s,'IH'
i,'AY',s,'AY'
seen,'S IY N',s,'IY'
this,'DH IH S',s,'IH'
stubborn,'S T ɤ B ǝ R N',s,''
himself,'HH IH M S EH L F',s,'IH'
against,'AH G EH N S T',s,''
a,'AH',s,''
troop,'T R UW P',s,'UW'
of,'AH V',s,''
kerns,'K ɐ R N Z',s,''
and,'AH N D',s,''
so,'S OW',s,''
till,'T IH L',s,'IH'
that,'DH AE T',s,'AE'
his,'HH IH Z',s,'IH'
with,'W IH DH',s,'IH'
darts,'D AA R T S',s,'AA'
wre,'W ER',s,''
almost,'AA L M OW S T',s,'AA'
a,'AH',s,''
and,'AH N D',s,''
in,'IH N',s,'IH'
the,'DH AH',s,''
end,'EH N D',s,''
being,'B IY IH NG',s,'IY IH'
i,'AY',s,'AY'
seen,'S IY N',s,'IY'
him,'HH IH M',s,'IH'
caper,'K EH P ǝ R',s,''
a,'AH',s,''
the,'DH AH',s,''
bloody,'B L AH D IY',s,'IY'
darts,'D AA R T S',s,'AA'
as,'AE Z',s,'AE'
he,'HH IY',s,'IY'
his,'HH IH Z',s,'IH'
full,'F UH L',s,'UH'
a,'AH',s,''
crafty,'K R AE F T IY',s,'AE IY'
kern,'K ɐ R N',s,''
hath,'HH AE TH',s,'AE'
he,'HH IY',s,'IY'
with,'W IH DH',s,'IH'
the,'DH AH',s,''
enemy,'EH N AH M IY',s,'IY'
and,'AH N D',s,''
to,'T UW',s,'UW'
me,'M IY',s,'IY'
again,'ǝ ɡ EH N',s,''
and,'AH N D',s,''
given,'G IH V AH N',s,'IH'
me,'M IY',s,'IY'
of,'AH V',s,''
their,'DH EH R',s,''
this,'DH IH S',s,'IH'
devil,'D IH V ǝ L',s,'IH'
shall,'SH AE L',s,'AE'
be,'B IY',s,'IY'
my,'M AY',s,'AY'
for,'F AO R',s,'AO'
that,'DH AE T',s,'AE'
mortimer,'M AO R T IH M ǝ R',s,'AO IH'
is,'IH Z',s,'IH'
dead,'D EH D',s,''
in,'IH N',s,'IH'
in,'IH N',s,'IH'
gait,'G EH T',s,''
in,'IH N',s,'IH'
speech,'S P IY CH',s,'IY'
he,'HH IY',s,'IY'
doth,'D AO TH',s,'AO'
by,'B AY',s,'AY'
this,'DH IH S',s,'IH'
i,'AY',s,'AY'
shall,'SH AE L',s,'AE'
percve,'P ER S IY V',s,'IY'
the,'DH AH',s,''
affect,'ǝ F e K T',s,''
the,'DH AH',s,''
and,'AH N D',s,''
claim,'K L EH M',s,''
of,'AH V',s,''
york,'Y AO R K',s,'AO'
he,'HH IY',s,'IY'
be,'B IY',s,'IY'
taken,'T EY K AH N',s,'EY'
and,'AH N D',s,''
i,'AY',s,'AY'
no,'N OW',s,''
pain,'P EH N',s,''
can,'K AE N',s,'AE'
inflict,'IH N F L IH K T',s,'IH IH'
upon,'AH P AA N',s,'AA'
him,'HH IH M',s,'IH'
will,'W IH L',s,'IH'
him,'HH IH M',s,'IH'
i,'AY',s,'AY'
him,'HH IH M',s,'IH'
to,'T UW',s,'UW'
arms,'AA R M Z',s,'AA'
that,'DH AE T',s,'AE'
he,'HH IY',s,'IY'
thhrve,'TH R AY V',s,'AY'
as,'AE Z',s,'AE'
great,'G r e T',s,''
he,'HH IY',s,'IY'
will,'W IH L',s,'IH'
whhy,'ʍ ǝ IH',s,'IH'
then,'DH EH N',s,''
from,'F R AH M',s,''
i,'AY',s,'AY'
with,'W IH DH',s,'IH'
my,'M AY',s,'AY'
strength,'S T R EH NG K TH',s,''
and,'AH N D',s,''
reap,'R IY P',s,'IY'
the,'DH AH',s,''
that,'DH AE T',s,'AE'
for,'F AO R',s,'AO'
being,'B IY IH NG',s,'IY IH'
dead,'D EH D',s,''
as,'AE Z',s,'AE'
he,'HH IY',s,'IY'
shall,'SH AE L',s,'AE'
be,'B IY',s,'IY'
and,'AH N D',s,''
henry,'HH EH N R IY',s,'IY'
put,'P UH T',s,'UH'
apart,'ǝ P AW R T',s,''
the,'DH AH',s,''
for,'F AO R',s,'AO'
me,'M IY',s,'IY'
from,'F R AH M',s,''
thus,'DH ɤ S',s,''
york,'Y AO R K',s,'AO'
to,'T UW',s,'UW'
claim,'K L EH M',s,''
his,'HH IH Z',s,'IH'
and,'AH N D',s,''
pluck,'P L ɤ K',s,''
the,'DH AH',s,''
crown,'K r ǝ UH N',s,'UH'
from,'F R AH M',s,''
bonfires,'B ɒ N F ə IH R Z',s,'IH'
clear,'K L IY R',s,'IY'
and,'AH N D',s,''
to,'T UW',s,'UW'
great,'G r e T',s,''
who,'HH UW',s,'UW'
not,'N AA T',s,'AA'
buy,'B ə IH',s,'IH'
thee,'DH IY',s,'IY'
dear,'D IY R',s,'IY'
let,'L EH T',s,''
them,'DH EH M',s,''
that,'DH AE T',s,'AE'
not,'N AA T',s,'AA'
to,'T UW',s,'UW'
this,'DH IH S',s,'IH'
was,'W AA Z',s,'AA'
to,'T UW',s,'UW'
but,'B AH T',s,''
gold,'G OW L D',s,''
i,'AY',s,'AY'
cannot,'K AE N AA T',s,'AE AA'
action,'AE K SH AH N',s,'AE'
to,'T UW',s,'UW'
my,'M AY',s,'AY'
except,'IH K S EH P T',s,'IH'
a,'AH',s,''
or,'AO R',s,'AO'
it,'IH T',s,'IH'
a,'AH',s,''
shall,'SH AE L',s,'AE'
it,'IH T',s,'IH'
i,'AY',s,'AY'
a,'AH',s,''
soul,'S OW L',s,''
on,'AA N',s,'AA'
toss,'T AO S',s,'AO'
the,'DH AH',s,''
of,'AH V',s,''
whom,'HH UW M',s,'UW'
we,'W IY',s,'IY'
to,'T UW',s,'UW'
disturb,'D IH S T ɐ R B',s,'IH'
me,'M IY',s,'IY'
the,'DH AH',s,''
hath,'HH AE TH',s,'AE'
sent,'S EH N T',s,''
him,'HH IH M',s,'IH'
i,'AY',s,'AY'
must,'M AH S T',s,''
of,'AH V',s,''
i,'AY',s,'AY'
art,'AA R T',s,'AA'
thou,'DH AW',s,''
a,'AH',s,''
or,'AO R',s,'AO'
of,'AH V',s,''
pleasre,'P L EH ZH ER',s,''
can,'K AE N',s,'AE'
i,'AY',s,'AY'
speak,'S P IY K',s,'IY'
my,'M AY',s,'AY'
is,'IH Z',s,'IH'
so,'S OW',s,''
great,'G r e T',s,''
o,'OW',s,''
i,'AY',s,'AY'
up,'AH P',s,''
and,'AH N D',s,''
with,'W IH DH',s,'IH'
flint,'F L IH N T',s,'IH'
i,'AY',s,'AY'
am,'AE M',s,'AE'
so,'S OW',s,''
angry,'AE NG G R IY',s,'AE IY'
at,'AE T',s,'AE'
terms,'T ɐ R M Z',s,''
and,'AH N D',s,''
on,'AA N',s,'AA'
sheep,'SH IY P',s,'IY'
or,'AO R',s,'AO'
i,'AY',s,'AY'
spend,'S P EH N D',s,''
my,'M AY',s,'AY'
i,'AY',s,'AY'
am,'AE M',s,'AE'
far,'F AA R',s,'AA'
better,'B e T ə R',s,''
born,'B AO R N',s,'AO'
than,'DH AE N',s,'AE'
is,'IH Z',s,'IH'
the,'DH AH',s,''
a,'AH',s,''
in,'IH N',s,'IH'
my,'M AY',s,'AY'
but,'B AH T',s,''
i,'AY',s,'AY'
must,'M AH S T',s,''
fair,'F EH R',s,''
yet,'Y EH T',s,''
till,'T IH L',s,'IH'
henry,'HH EH N R IY',s,'IY'
be,'B IY',s,'IY'
weak,'W IY K',s,'IY'
and,'AH N D',s,''
i,'AY',s,'AY'
i,'AY',s,'AY'
prithee,'P r e DH IY',s,'IY'
pardon,'P AA R D ǝ N',s,'AA'
me,'M IY',s,'IY'
that,'DH AE T',s,'AE'
i,'AY',s,'AY'
given,'G IH V AH N',s,'IH'
no,'N OW',s,''
all,'AA L',s,'AA'
this,'DH IH S',s,'IH'
my,'M AY',s,'AY'
was,'W AA Z',s,'AA'
troubled,'T r ɤ B ǝ L D',s,''
with,'W IH DH',s,'IH'
deep,'D IY P',s,'IY'
the,'DH AH',s,''
whhy,'ʍ ǝ IH',s,'IH'
i,'AY',s,'AY'
this,'DH IH S',s,'IH'
is,'IH Z',s,'IH'
to,'T UW',s,'UW'
from,'F R AH M',s,''
the,'DH AH',s,''
seditious,'S IH D IH SH AH S',s,'IH IH'
to,'T UW',s,'UW'
his,'HH IH Z',s,'IH'
and,'AH N D',s,''
to,'T UW',s,'UW'
the,'DH AH',s,''
upon,'AH P AA N',s,'AA'
is,'IH Z',s,'IH'
he,'HH IY',s,'IY'
then,'DH EH N',s,''
i,'AY',s,'AY'
do,'D OW',s,''
dismiss,'D IH S M IH S',s,'IH IH'
my,'M AY',s,'AY'
i,'AY',s,'AY'
thank,'TH AE NG K',s,'AE'
you,'Y UW',s,'UW'
all,'AA L',s,'AA'
meet,'M IY T',s,'IY'
me,'M IY',s,'IY'
in,'IH N',s,'IH'
saint,'S EY N T',s,'EY'
field,'F IY L D',s,'IY'
you,'Y UW',s,'UW'
shall,'SH AE L',s,'AE'
and,'AH N D',s,''
everything,'e V r ǝ IH ˌ TH IH NG',s,'IH IH'
you,'Y UW',s,'UW'
wish,'W IH SH',s,'IH'
and,'AH N D',s,''
let,'L EH T',s,''
my,'M AY',s,'AY'
virtuous,'V ER CH UW AH S',s,'UW'
henry,'HH EH N R IY',s,'IY'
command,'K ǝ M AW N D',s,''
my,'M AY',s,'AY'
eldest,'EH L D AH S T',s,''
son,'S AO ̃',s,'AO'
all,'AA L',s,'AA'
my,'M AY',s,'AY'
sons,'S AH N Z',s,''
as,'AE Z',s,'AE'
of,'AH V',s,''
my,'M AY',s,'AY'
and,'AH N D',s,''
send,'S EH N D',s,''
them,'DH EH M',s,''
all,'AA L',s,'AA'
as,'AE Z',s,'AE'
as,'AE Z',s,'AE'
i,'AY',s,'AY'
lands,'L AE N D Z',s,'AE'
goods,'G UH D Z',s,'UH'
i,'AY',s,'AY'
is,'IH Z',s,'IH'
his,'HH IH Z',s,'IH'
to,'T UW',s,'UW'
so,'S OW',s,''
in,'IH N',s,'IH'
all,'AA L',s,'AA'
submission,'S AH B M IH SH AH N',s,'IH'
and,'AH N D',s,''
york,'Y AO R K',s,'AO'
doth,'D AO TH',s,'AO'
present,'P r IH Z e N T',s,'IH'
himself,'HH IH M S EH L F',s,'IH'
unto,'AH N T UW',s,'UW'
your,'Y AO R',s,'AO'
to,'T UW',s,'UW'
hve,'IY V',s,'IY'
the,'DH AH',s,''
from,'F R AH M',s,''
and,'AH N D',s,''
against,'AH G EH N S T',s,''
that,'DH AE T',s,'AE'
rebel,'R EH B AH L',s,''
who,'HH UW',s,'UW'
i,'AY',s,'AY'
to,'T UW',s,'UW'
be,'B IY',s,'IY'
is,'IH Z',s,'IH'
at,'AE T',s,'AE'
then,'DH EH N',s,''
york,'Y AO R K',s,'AO'
and,'AH N D',s,''
let,'L EH T',s,''
be,'B IY',s,'IY'
with,'W IH DH',s,'IH'
heart,'HH AA R T',s,'AA'
shall,'SH AE L',s,'AE'
i,'AY',s,'AY'
the,'DH AH',s,''
of,'AH V',s,''
whhy,'ʍ ǝ IH',s,'IH'
hast,'HH AE S T',s,'AE'
thou,'DH AW',s,''
broken,'B R OW K AH N',s,''
faith,'F EY TH',s,'EY'
with,'W IH DH',s,'IH'
me,'M IY',s,'IY'
hardly,'HH AA R D L IY',s,'AA IY'
i,'AY',s,'AY'
can,'K AE N',s,'AE'
brook,'B R UH K',s,'UH'
did,'D IH D',s,'IH'
i,'AY',s,'AY'
call,'K AO L',s,'AO'
thee,'DH IY',s,'IY'
no,'N OW',s,''
thou,'DH AW',s,''
art,'AA R T',s,'AA'
not,'N AA T',s,'AA'
not,'N AA T',s,'AA'
fit,'F IH T',s,'IH'
to,'T UW',s,'UW'
govern,'G ɤ V ǝ R N',s,''
and,'AH N D',s,''
multitudes,'M AH L T AH T Y UW D Z',s,'UW'
nor,'N AO R',s,'AO'
a,'AH',s,''
that,'DH AE T',s,'AE'
of,'AH V',s,''
doth,'D AO TH',s,'AO'
not,'N AA T',s,'AA'
a,'AH',s,''
crown,'K r ǝ UH N',s,'UH'
is,'IH Z',s,'IH'
to,'T UW',s,'UW'
grasp,'G r AW S P',s,''
a,'AH',s,''
staff,'S T AE F',s,'AE'
and,'AH N D',s,''
not,'N AA T',s,'AA'
to,'T UW',s,'UW'
an,'AE N',s,'AE'
princely,'P r IH N S L ǝ IH',s,'IH IH'
that,'DH AE T',s,'AE'
gold,'G OW L D',s,''
must,'M AH S T',s,''
engirt,'e N G ɐ R T',s,''
brows,'B r ə UH Z',s,'UH'
of,'AH V',s,''
and,'AH N D',s,''
frown,'F r ǝ UH N',s,'UH'
to,'T UW',s,'UW'
spear,'S P IY R',s,'IY'
is,'IH Z',s,'IH'
with,'W IH DH',s,'IH'
the,'DH AH',s,''
to,'T UW',s,'UW'
kill,'K IH L',s,'IH'
and,'AH N D',s,''
is,'IH Z',s,'IH'
a,'AH',s,''
to,'T UW',s,'UW'
a,'AH',s,''
up,'AH P',s,''
and,'AH N D',s,''
with,'W IH DH',s,'IH'
the,'DH AH',s,''
to,'T UW',s,'UW'
act,'AE K T',s,'AE'
by,'B AY',s,'AY'
heaven,'HH EH V AH N',s,''
thou,'DH AW',s,''
shalt,'SH AE L T',s,'AE'
no,'N OW',s,''
him,'HH IH M',s,'IH'
whom,'HH UW M',s,'UW'
heaven,'HH EH V AH N',s,''
for,'F AO R',s,'AO'
ruler,'r UW L ǝ R',s,'UW'
me,'M IY',s,'IY'
let,'L EH T',s,''
me,'M IY',s,'IY'
ask,'AW S K',s,''
of,'AH V',s,''
if,'IH F',s,'IH'
can,'K AE N',s,'AE'
brook,'B R UH K',s,'UH'
i,'AY',s,'AY'
a,'AH',s,''
to,'T UW',s,'UW'
man,'M AE N',s,'AE'
call,'K AO L',s,'AO'
in,'IH N',s,'IH'
my,'M AY',s,'AY'
sons,'S AH N Z',s,''
to,'T UW',s,'UW'
be,'B IY',s,'IY'
my,'M AY',s,'AY'
bail,'B EY L',s,'EY'
i,'AY',s,'AY'
will,'W IH L',s,'IH'
me,'M IY',s,'IY'
go,'G OW',s,''
to,'T UW',s,'UW'
ward,'W AA R D',s,'AA'
their,'DH EH R',s,''
for,'F AO R',s,'AO'
my,'M AY',s,'AY'
o,'OW',s,''
of,'AH V',s,''
naples,'N EY P AH L Z',s,'EY'
bloody,'B L AH D IY',s,'IY'
the,'DH AH',s,''
sons,'S AH N Z',s,''
of,'AH V',s,''
york,'Y AO R K',s,'AO'
betters,'B e T ə R Z',s,''
in,'IH N',s,'IH'
their,'DH EH R',s,''
shall,'SH AE L',s,'AE'
be,'B IY',s,'IY'
their,'DH EH R',s,''
bail,'B EY L',s,'EY'
and,'AH N D',s,''
to,'T UW',s,'UW'
that,'DH AE T',s,'AE'
for,'F AO R',s,'AO'
my,'M AY',s,'AY'
surety,'SH UW R T ǝ IH',s,'UW IH'
will,'W IH L',s,'IH'
the,'DH AH',s,''
see,'S IY',s,'IY'
warrant,'W AA r ǝ N T',s,'AA'
it,'IH T',s,'IH'
good,'G UH D',s,'UH'
i,'AY',s,'AY'
thank,'TH AE NG K',s,'AE'
thee,'DH IY',s,'IY'
what,'W AH T',s,''
with,'W IH DH',s,'IH'
thee,'DH IY',s,'IY'
do,'D OW',s,''
not,'N AA T',s,'AA'
us,'AH S',s,''
with,'W IH DH',s,'IH'
an,'AE N',s,'AE'
angry,'AE NG G R IY',s,'AE IY'
look,'L UH K',s,'UH'
we,'W IY',s,'IY'
again,'ǝ ɡ EH N',s,''
for,'F AO R',s,'AO'
so,'S OW',s,''
we,'W IY',s,'IY'
pardon,'P AA R D ǝ N',s,'AA'
thee,'DH IY',s,'IY'
will,'W IH L',s,'IH'
you,'Y UW',s,'UW'
not,'N AA T',s,'AA'
sons,'S AH N Z',s,''
look,'L UH K',s,'UH'
in,'IH N',s,'IH'
a,'AH',s,''
glass,'G L AW S',s,''
and,'AH N D',s,''
call,'K AO L',s,'AO'
so,'S OW',s,''
i,'AY',s,'AY'
am,'AE M',s,'AE'
and,'AH N D',s,''
thou,'DH AW',s,''
a,'AH',s,''
call,'K AO L',s,'AO'
to,'T UW',s,'UW'
the,'DH AH',s,''
my,'M AY',s,'AY'
bears,'B EH R Z',s,''
that,'DH AE T',s,'AE'
with,'W IH DH',s,'IH'
the,'DH AH',s,''
very,'V EH R IY',s,'IY'
of,'AH V',s,''
their,'DH EH R',s,''
astonish,'AH S T AA N IH SH',s,'AA IH'
curs,'K ɐ R Z',s,''
bid,'B IH D',s,'IH'
and,'AH N D',s,''
to,'T UW',s,'UW'
me,'M IY',s,'IY'
we,'W IY',s,'IY'
shall,'SH AE L',s,'AE'
you,'Y UW',s,'UW'
call,'K AO L',s,'AO'
and,'AH N D',s,''
all,'AA L',s,'AA'
the,'DH AH',s,''
friends,'F R EH N D Z',s,''
thou,'DH AW',s,''
hast,'HH AE S T',s,'AE'
i,'AY',s,'AY'
am,'AE M',s,'AE'
for,'F AO R',s,'AO'
death,'D EH TH',s,''
or,'AO R',s,'AO'
dignity,'D IH G N AH T IY',s,'IH IY'
the,'DH AH',s,''
my,'M AY',s,'AY'
steed,'S T IY D',s,'IY'
but,'B AH T',s,''
to,'T UW',s,'UW'
i,'AY',s,'AY'
him,'HH IH M',s,'IH'
and,'AH N D',s,''
a,'AH',s,''
for,'F AO R',s,'AO'
and,'AH N D',s,''
even,'IY V IH N',s,'IY IH'
of,'AH V',s,''
the,'DH AH',s,''
bonnny,'B ɒ N ə IH',s,'IH'
beast,'B e S T',s,''
he,'HH IY',s,'IY'
so,'S OW',s,''
well,'W EH L',s,''
seek,'S IY K',s,'IY'
thee,'DH IY',s,'IY'
out,'AW T',s,''
for,'F AO R',s,'AO'
i,'AY',s,'AY'
myself,'M AY S EH L F',s,'AY'
must,'M AH S T',s,''
this,'DH IH S',s,'IH'
deer,'D IY R',s,'IY'
to,'T UW',s,'UW'
death,'D EH TH',s,''
with,'W IH DH',s,'IH'
i,'AY',s,'AY'
be,'B IY',s,'IY'
in,'IH N',s,'IH'
