f,r,ie,n,d,s;F,R,EH,N,D,Z;s; 
th,e,n;DH,EH,N;s; 
n,ea,r;N,IY,R;s; IY
th,e;DH,AH;s; 
s,ea,s,o,n;S,IY,Z,AH,N;s; IY
wh,e,r,ei,n;ʍ,EH,R,IH,N;s; IH
th,e;DH,AH;s; 
s,p,i,r,i,t;S,P,IH,R,AH,T;s; IH
h,e,l,d;HH,EH,L,D;s; 
h,i,s;HH,IH,Z;s; IH
w,o,n,t;W,OW,N,T;s; 
t,o;T,UW;s; UW
wh,a,t;W,AH,T;s; 
d,oe,s;D,AH,Z;s; 
th,i,s;DH,IH,S;s; IH
m,ea,n;M,IY,N;s; IY
m,y;M,AY;s; AY
l,o,r,d;L,AO,R,D;s; AO
i,s;IH,Z;s; IH
i,t;IH,T;s; IH
a;AH;s; 
c,u,s,t,o,m;K,AH,S,T,AH,M;s; 
l,oo,k;L,UH,K;s; UH
m,y;M,AY;s; AY
l,o,r,d;L,AO,R,D;s; AO
i,t;IH,T;s; IH
i,t;IH,T;s; IH
b,e,ck,o,n,s;B,EH,K,AH,N,Z;s; 
y,ou;Y,UW;s; UW
t,o;T,UW;s; UW
g,o;G,OW;s; 
w,i,th;W,IH,DH;s; IH
i,t;IH,T;s; IH
a,s;AE,Z;s; AE
i,f;IH,F;s; IH
i,t;IH,T;s; IH
d,i,d;D,IH,D;s; IH
t,o;T,UW;s; UW
y,ou;Y,UW;s; UW
n,o;N,OW;s; 
b,y;B,AY;s; AY
n,o;N,OW;s; 
m,ea,n,s;M,IY,N,Z;s; IY
d,o;D,OW;s; 
n,o,t;N,AA,T;s; AA
m,y;M,AY;s; AY
l,o,r,d;L,AO,R,D;s; AO
wh,a,t;W,AH,T;s; 
i,f;IH,F;s; IH
i,t;IH,T;s; IH
t,e,m,p,t;T,EH,M,P,T;s; 
y,ou;Y,UW;s; UW
th,e;DH,AH;s; 
f,l,oo,d;F,L,AH,D;s; 
m,y;M,AY;s; AY
l,o,r,d;L,AO,R,D;s; AO
o,r;AO,R;s; AO
t,o;T,UW;s; UW
th,e;DH,AH;s; 
d,r,ea,d,f,u,l;D,R,EH,D,F,AH,L;s; 
s,u,mm,i,t;S,ɤ,M,IH,T;s; IH
o,f;AH,V;s; 
th,e;DH,AH;s; 
c,l,i,ff;K,L,IH,F;s; IH
th,a,t;DH,AE,T;s; AE
b,ee,t,l,e,s;B,IY,T,AH,L,Z;s; IY
h,i,s;HH,IH,Z;s; IH
i,n,t,o;IH,N,T,UW;s; IH,UW
th,e;DH,AH;s; 
s,ea;S,IY;s; IY
a,n,d;AH,N,D;s; 
f,o,r,m;F,AO,R,M;s; AO
y,ou,r;Y,AO,R;s; AO
o,f;AH,V;s; 
r,ea,s,o,n;r,EH,Z,ǝ,N;s; 
a,n,d;AH,N,D;s; 
y,ou;Y,UW;s; UW
i,n,t,o;IH,N,T,UW;s; IH,UW
m,a,d,n,e,ss;M,AE,D,N,AH,S;s; AE
th,i,n,k;TH,IH,NG,K;s; IH
o,f;AH,V;s; 
i,t;IH,T;s; IH
th,e;DH,AH;s; 
v,e,r,y;V,EH,R,IY;s; IY
p,u,t,s;P,UH,T,S;s; UH
o,f;AH,V;s; 
i,n,t,o;IH,N,T,UW;s; IH,UW
e,v,e,r,y;e,V,r,ǝ,IH;s; IH
b,r,ai,n;B,r,EH,N;s; 
th,a,t;DH,AE,T;s; AE
l,oo,k,s;L,UH,K,S;s; UH
s,o;S,OW;s; 
f,a,th,o,m,s;F,AW,D,ǝ,M,Z;s; 
t,o;T,UW;s; UW
th,e;DH,AH;s; 
s,ea;S,IY;s; IY
a,n,d;AH,N,D;s; 
i,t;IH,T;s; IH
r,oa,r;r,AO,R;s; AO
b,e,n,ea,th;B,IH,N,IY,TH;s; IH,IY
b,e;B,IY;s; IY
y,ou;Y,UW;s; UW
sh,a,ll;SH,AE,L;s; AE
n,o,t;N,AA,T;s; AA
g,o;G,OW;s; 
h,e;HH,IY;s; IY
d,e,s,p,e,r,te;D,EH,S,P,R,IH,T;s; IH
w,i,th;W,IH,DH;s; IH
i,m,a,g,i,n,a,t,io,n;IH,M,AE,JH,AH,N,EY,SH,AH,N;s; IH,AE,EY
a,f,t,e,r;AW,F,T,ǝ,R;s; 
t,o;T,UW;s; UW
wh,a,t;W,AH,T;s; 
w,i,ll;W,IH,L;s; IH
th,i,s;DH,IH,S;s; IH
h,ea,v,e,n;HH,EH,V,AH,N;s; 
w,i,ll;W,IH,L;s; IH
i,t;IH,T;s; IH
m,y;M,AY;s; AY
l,o,r,d;L,AO,R,D;s; AO
m,y;M,AY;s; AY
l,o,r,d;L,AO,R,D;s; AO
h,ea,v,e,n,s;HH,EH,V,AH,N,Z;s; 
h,i,m;HH,IH,M;s; IH
wh,a,t;W,AH,T;s; 
m,y;M,AY;s; AY
l,o,r,d;L,AO,R,D;s; AO
g,oo,d;G,UH,D;s; UH
m,y;M,AY;s; AY
l,o,r,d;L,AO,R,D;s; AO
t,e,ll;T,EH,L;s; 
i,t;IH,T;s; IH
n,o,t;N,AA,T;s; AA
i;AY;s; AY
m,y;M,AY;s; AY
l,o,r,d;L,AO,R,D;s; AO
b,y;B,AY;s; AY
h,ea,v,e,n;HH,EH,V,AH,N;s; 
b,y;B,AY;s; AY
h,ea,v,e,n;HH,EH,V,AH,N;s; 
m,y;M,AY;s; AY
l,o,r,d;L,AO,R,D;s; AO
n,ee,d,s;N,IY,D,Z;s; IY
n,o;N,OW;s; 
m,y;M,AY;s; AY
l,o,r,d;L,AO,R,D;s; AO
f,r,o,m;F,R,AH,M;s; 
th,e;DH,AH;s; 
t,o;T,UW;s; UW
t,e,ll;T,EH,L;s; 
u,s;AH,S;s; 
th,i,s;DH,IH,S;s; IH
b,u,t;B,AH,T;s; 
a,n,d;AH,N,D;s; 
m,y;M,AY;s; AY
l,o,r,d;L,AO,R,D;s; AO
n,o;N,OW;s; 
m,y;M,AY;s; AY
l,o,r,d;L,AO,R,D;s; AO
wh,a,t;W,AH,T;s; 
i,s;IH,Z;s; IH
m,y;M,AY;s; AY
l,o,r,d;L,AO,R,D;s; AO
w,e;W,IY;s; IY
w,i,ll;W,IH,L;s; IH
m,y;M,AY;s; AY
l,o,r,d;L,AO,R,D;s; AO
w,e;W,IY;s; IY
w,i,ll;W,IH,L;s; IH
n,o,t;N,AA,T;s; AA
i,n;IH,N;s; IH
f,ai,th;F,EY,TH;s; EY
m,y;M,AY;s; AY
l,o,r,d;L,AO,R,D;s; AO
n,o,t;N,AA,T;s; AA
i;AY;s; AY
th,e;DH,AH;s; 
oa,th;OW,TH;s; 
m,y;M,AY;s; AY
l,o,r,d;L,AO,R,D;s; AO
o;OW;s; 
a,n,d;AH,N,D;s; 
b,u,t;B,AH,T;s; 
th,i,s;DH,IH,S;s; IH
i,s;IH,Z;s; IH
w,o,n,d,r,ou,s;W,AH,N,D,R,AH,S;s; 
s,w,ee,t;S,W,IY,T;s; IY
l,o,r,d;L,AO,R,D;s; AO
a,t;AE,T;s; AE
y,ou,r;Y,AO,R;s; AO
o;OW;s; 
m,y;M,AY;s; AY
d,ea,r;D,IY,R;s; IY
l,o,r,d;L,AO,R,D;s; AO
w,e,ll;W,EH,L;s; 
m,y;M,AY;s; AY
l,o,r,d;L,AO,R,D;s; AO
i,f;IH,F;s; IH
h,e;HH,IY;s; IY
s,t,ea,l;S,T,IY,L;s; IY
th,e;DH,AH;s; 
th,i,s;DH,IH,S;s; IH
i,s;IH,Z;s; IH
a,n,d;AH,N,D;s; 
i;AY;s; AY
w,i,ll;W,IH,L;s; IH
th,e;DH,AH;s; 
th,e,f,t;TH,EH,F,T;s; 
a;AH;s; 
y,ou;Y,UW;s; UW
v,e,r,y;V,EH,R,IY;s; IY
w,e,ll;W,EH,L;s; 
m,y;M,AY;s; AY
l,o,r,d;L,AO,R,D;s; AO
i;AY;s; AY
d,i,d;D,IH,D;s; IH
v,e,r,y;V,EH,R,IY;s; IY
w,e,ll;W,EH,L;s; 
h,i,m;HH,IH,M;s; IH
g,oo,d;G,UH,D;s; UH
sh,e;SH,IY;s; IY
w,re;W,ER;s; 
s,p,o,k,e,n;S,P,IY,K,ǝ,N;s; IY
w,i,th;W,IH,DH;s; IH
f,o,r;F,AO,R;s; AO
sh,e;SH,IY;s; IY
i,n;IH,N;s; IH
wh,a,t;W,AH,T;s; 
th,a,t;DH,AE,T;s; AE
s,p,ea,k;S,P,IY,K;s; IY
w,i,th;W,IH,DH;s; IH
m,e;M,IY;s; IY
l,e,t;L,EH,T;s; 
th,e,m;DH,EH,M;s; 
i,n;IH,N;s; IH
i;AY;s; AY
d,o;D,OW;s; 
n,o,t;N,AA,T;s; AA
f,r,o,m;F,R,AH,M;s; 
wh,a,t;W,AH,T;s; 
p,a,r,t;P,AA,R,T;s; AA
o,f;AH,V;s; 
th,e;DH,AH;s; 
i;AY;s; AY
b,e;B,IY;s; IY
g,r,ee,t,e,d;G,R,IY,T,AH,D;s; IY
i,f;IH,F;s; IH
n,o,t;N,AA,T;s; AA
f,r,o,m;F,R,AH,M;s; 
l,o,r,d;L,AO,R,D;s; AO
l,e,t;L,EH,T;s; 
h,i,m;HH,IH,M;s; IH
b,l,e,ss;B,L,EH,S;s; 
th,ee;DH,IY;s; IY
t,oo;T,UW;s; UW
wh,e,n;ʍ,e,N;s; 
th,ou;DH,AW;s; 
sh,a,l,t;SH,AE,L,T;s; AE
th,i,s;DH,IH,S;s; IH
m,ea,n,s;M,IY,N,Z;s; IY
t,o;T,UW;s; UW
th,e;DH,AH;s; 
f,o,r;F,AO,R;s; AO
h,i,m;HH,IH,M;s; IH
w,e;W,IY;s; IY
w,re;W,ER;s; 
o,l,d;OW,L,D;s; 
a,t;AE,T;s; AE
s,ea;S,IY;s; IY
a;AH;s; 
o,f;AH,V;s; 
v,e,r,y;V,EH,R,IY;s; IY
a,pp,oi,n,t,m,e,n,t;AH,P,OY,N,T,M,AH,N,T;s; 
u,s;AH,S;s; 
f,i,n,d,i,n,g;F,ǝ,IH,N,D,IH,N;s; IH,IH
t,oo;T,UW;s; UW
o,f;AH,V;s; 
s,ai,l;S,EH,L;s; 
w,e;W,IY;s; IY
p,u,t;P,UH,T;s; UH
o,n;AA,N;s; AA
a;AH;s; 
a,n,d;AH,N,D;s; 
i,n;IH,N;s; IH
th,e;DH,AH;s; 
i;AY;s; AY
b,oa,r,d,e,d;B,AO,R,D,IH,D;s; AO,IH
th,e,m;DH,EH,M;s; 
o,n;AA,N;s; AA
th,e;DH,AH;s; 
i,n,s,t,a,n,t;IH,N,S,T,AH,N,T;s; IH
g,o,t;G,AA,T;s; AA
c,l,ea,r;K,L,IY,R;s; IY
o,f;AH,V;s; 
ou,r;OW,R;s; 
sh,i,p;SH,IH,P;s; IH
s,o;S,OW;s; 
i;AY;s; AY
th,ei,r;DH,EH,R;s; 
d,ea,l,t;D,EH,L,T;s; 
w,i,th;W,IH,DH;s; IH
m,e;M,IY;s; IY
o,f;AH,V;s; 
b,u,t;B,AH,T;s; 
wh,a,t;W,AH,T;s; 
d,i,d;D,IH,D;s; IH
i;AY;s; AY
a,m;AE,M;s; AE
t,o;T,UW;s; UW
d,o;D,OW;s; 
a;AH;s; 
g,oo,d;G,UH,D;s; UH
t,u,r,n;T,ɐ,R,N;s; 
f,o,r;F,AO,R;s; AO
th,e,m;DH,EH,M;s; 
l,e,t;L,EH,T;s; 
th,e;DH,AH;s; 
th,e;DH,AH;s; 
i;AY;s; AY
s,e,n,t;S,EH,N,T;s; 
a,n,d;AH,N,D;s; 
r,e,p,ai,r;r,IH,P,EH,R;s; IH
th,ou;DH,AW;s; 
t,o;T,UW;s; UW
m,e;M,IY;s; IY
w,i,th;W,IH,DH;s; IH
a,s;AE,Z;s; AE
s,p,ee,d;S,P,IY,D;s; IY
a,s;AE,Z;s; AE
th,ou;DH,AW;s; 
d,ea,th;D,EH,TH;s; 
i;AY;s; AY
t,o;T,UW;s; UW
s,p,ea,k;S,P,IY,K;s; IY
i,n;IH,N;s; IH
ea,r;IY,R;s; IY
w,i,ll;W,IH,L;s; IH
th,ee;DH,IY;s; IY
y,e,t;Y,EH,T;s; 
t,oo;T,UW;s; UW
f,o,r;F,AO,R;s; AO
th,e;DH,AH;s; 
o,f;AH,V;s; 
th,e;DH,AH;s; 
m,a,tt,e,r;M,AW,T,ǝ,R;s; 
g,oo,d;G,UH,D;s; UH
w,i,ll;W,IH,L;s; IH
th,ee;DH,IY;s; IY
i;AY;s; AY
a,m;AE,M;s; AE
a,n,d;AH,N,D;s; 
th,ei,r;DH,EH,R;s; 
f,o,r;F,AO,R;s; AO
e,n,g,l,a,n,d;IH,NG,G,L,AH,N,D;s; IH
o,f;AH,V;s; 
th,e,m;DH,EH,M;s; 
i;AY;s; AY
t,o;T,UW;s; UW
t,e,ll;T,EH,L;s; 
th,ee;DH,IY;s; IY
h,e;HH,IY;s; IY
th,a,t;DH,AE,T;s; AE
th,ou;DH,AW;s; 
i;AY;s; AY
w,i,ll;W,IH,L;s; IH
y,ou;Y,UW;s; UW
f,o,r;F,AO,R;s; AO
y,ou,r;Y,AO,R;s; AO
a,n,d;AH,N,D;s; 
d,o;D,OW;s; 
th,e;DH,AH;s; 
th,a,t;DH,AE,T;s; AE
y,ou;Y,UW;s; UW
m,e;M,IY;s; IY
t,o;T,UW;s; UW
h,i,m;HH,IH,M;s; IH
f,r,o,m;F,R,AH,M;s; 
wh,o,m;HH,UW,M;s; UW
y,ou;Y,UW;s; UW
th,e,m;DH,EH,M;s; 
c,u,s,t,o,m;K,AH,S,T,AH,M;s; 
h,a,th;HH,AE,TH;s; AE
i,t;IH,T;s; IH
i,n;IH,N;s; IH
h,i,m;HH,IH,M;s; IH
a;AH;s; 
o,f;AH,V;s; 
i,t;IH,T;s; IH
m,y;M,AY;s; AY
l,o,r,d;L,AO,R,D;s; AO
m,y;M,AY;s; AY
l,o,r,d;L,AO,R,D;s; AO
n,o,t;N,AA,T;s; AA
a;AH;s; 
j,o,t;JH,AA,T;s; AA
m,y;M,AY;s; AY
l,o,r,d;L,AO,R,D;s; AO
m,y;M,AY;s; AY
l,o,r,d;L,AO,R,D;s; AO
a,n,d;AH,N,D;s; 
o,f;AH,V;s; 
s,k,i,n,s;S,K,IH,N,Z;s; IH
t,oo;T,UW;s; UW
th,a,t;DH,AE,T;s; AE
m,y;M,AY;s; AY
l,o,r,d;L,AO,R,D;s; AO
s,o;S,OW;s; 
s,o;S,OW;s; 
m,y;M,AY;s; AY
l,o,r,d;L,AO,R,D;s; AO
t,o;T,UW;s; UW
t,oo;T,UW;s; UW
t,o;T,UW;s; UW
s,o;S,OW;s; 
g,oo,d;G,UH,D;s; UH
m,y;M,AY;s; AY
l,o,r,d;L,AO,R,D;s; AO
b,e;B,IY;s; IY
i,t;IH,T;s; IH
m,y;M,AY;s; AY
l,o,r,d;L,AO,R,D;s; AO
th,a,t;DH,AE,T;s; AE
i,s;IH,Z;s; IH
m,o,s,t;M,OW,S,T;s; 
c,e,r,t,ai,n;S,ɐ,R,T,ǝ,N;s; 
i,s;IH,Z;s; IH
i;AY;s; AY
b,e,s,ee,ch;B,IY,S,IY,CH;s; IY,IY
y,ou;Y,UW;s; UW
g,oo,d;G,UH,D;s; UH
m,y;M,AY;s; AY
l,o,r,d;L,AO,R,D;s; AO
w,a,s;W,AA,Z;s; AA
th,i,s;DH,IH,S;s; IH
s,o;S,OW;s; 
a,n,d;AH,N,D;s; 
g,o;G,OW;s; 
t,o;T,UW;s; UW
wh,h,y;ʍ,ǝ,IH;s; IH
wh,a,t;W,AH,T;s; 
a;AH;s; 
i,s;IH,Z;s; IH
th,i,s;DH,IH,S;s; IH
i,t;IH,T;s; IH
m,u,s,t;M,AH,S,T;s; 
b,e;B,IY;s; IY
sh,o,r,t,l,y;SH,AO,R,T,L,IY;s; AO,IY
t,o;T,UW;s; UW
h,i,m;HH,IH,M;s; IH
f,r,o,m;F,R,AH,M;s; 
e,n,g,l,a,n,d;IH,NG,G,L,AH,N,D;s; IH
wh,a,t;W,AH,T;s; 
i,s;IH,Z;s; IH
th,e;DH,AH;s; 
o,f;AH,V;s; 
th,e;DH,AH;s; 
wh,o;HH,UW;s; UW
n,o;N,OW;s; 
m,y;M,AY;s; AY
g,oo,d;G,UH,D;s; UH
l,o,r,d;L,AO,R,D;s; AO
i,s;IH,Z;s; IH
n,o,t;N,AA,T;s; AA
t,o;T,UW;s; UW
i,n;IH,N;s; IH
a,n,o,th,e,r;ǝ,N,ɤ,DH,ǝ,R;s; 
y,ou;Y,UW;s; UW
w,i,ll;W,IH,L;s; IH
t,o;T,UW;s; UW
h,i,s;HH,IH,Z;s; IH
i,s;IH,Z;s; IH
e,m,p,t,y;e,M,T,ǝ,IH;s; IH
a,ll;AA,L;s; AA
',s;EH,S;s; 
g,o,l,d,e,n;G,OW,L,D,ǝ,N;s; 
s,p,e,n,t;S,P,EH,N,T;s; 
i;AY;s; AY
y,ou;Y,UW;s; UW
m,u,s,t;M,AH,S,T;s; 
b,e;B,IY;s; IY
b,y;B,AY;s; AY
th,e;DH,AH;s; 
y,ou;Y,UW;s; UW
h,a,d;HH,AE,D;s; AE
th,i,s;DH,IH,S;s; IH
r,u,n,s;R,AH,N,Z;s; 
w,i,th;W,IH,DH;s; IH
th,e;DH,AH;s; 
sh,e,ll;SH,EH,L;s; 
o,n;AA,N;s; AA
h,i,s;HH,IH,Z;s; IH
y,ou;Y,UW;s; UW
w,i,ll;W,IH,L;s; IH
m,y;M,AY;s; AY
l,o,r,d;L,AO,R,D;s; AO
g,oo,d;G,UH,D;s; UH
m,y;M,AY;s; AY
l,o,r,d;L,AO,R,D;s; AO
i,f;IH,F;s; IH
y,ou,r;Y,AO,R;s; AO
i,t;IH,T;s; IH
i;AY;s; AY
w,i,ll;W,IH,L;s; IH
th,ei,r;DH,EH,R;s; 
r,e,p,ai,r;r,IH,P,EH,R;s; IH
a,n,d;AH,N,D;s; 
y,ou;Y,UW;s; UW
n,o,t;N,AA,T;s; AA
f,i,t;F,IH,T;s; IH
b,l,ee,d;B,L,IY,D;s; IY
o,n;AA,N;s; AA
b,o,th;B,OW,TH;s; 
i,s;IH,Z;s; IH
i,t;IH,T;s; IH
m,y;M,AY;s; AY
l,o,r,d;L,AO,R,D;s; AO
n,e,v,e,r;N,e,V,ǝ,R;s; 
i,t;IH,T;s; IH
i;AY;s; AY
a,m;AE,M;s; AE
a,n;AE,N;s; AE
r,o,m,a,n;r,OW,M,ǝ,N;s; 
th,a,n;DH,AE,N;s; AE
a;AH;s; 
y,e,t;Y,EH,T;s; 
l,i,q,uo,r;L,IH,K,ǝ,R;s; IH
l,e,f,t;L,EH,F,T;s; 
a;AH;s; 
h,ea,r,t;HH,AA,R,T;s; AA
g,oo,d;G,UH,D;s; UH
s,w,ee,t;S,W,IY,T;s; IY
a,n,d;AH,N,D;s; 
o,f;AH,V;s; 
a,n,g,e,l,s;EY,N,JH,AH,L,Z;s; EY
th,ee;DH,IY;s; IY
t,o;T,UW;s; UW
r,e,s,t;R,EH,S,T;s; 
wh,h,y;ʍ,ǝ,IH;s; IH
d,oe,s;D,AH,Z;s; 
th,e;DH,AH;s; 
d,r,u,m;D,R,AH,M;s; 
wh,a,t;W,AH,T;s; 
i,s;IH,Z;s; IH
i,t;IH,T;s; IH
y,ou;Y,UW;s; UW
s,ee;S,IY;s; IY
i,f;IH,F;s; IH
o,f;AH,V;s; 
w,oe;W,OW;s; 
o,r;AO,R;s; AO
w,o,n,d,e,r;W,ɤ,N,D,ǝ,R;s; 
y,ou,r;Y,AO,R;s; AO
n,o,t;N,AA,T;s; AA
f,r,o,m;F,R,AH,M;s; 
h,i,s;HH,IH,Z;s; IH
h,a,d;HH,AE,D;s; AE
i,t;IH,T;s; IH
o,f;AH,V;s; 
t,o;T,UW;s; UW
th,a,n,k;TH,AE,NG,K;s; AE
y,ou;Y,UW;s; UW
h,e;HH,IY;s; IY
n,e,v,e,r;N,e,V,ǝ,R;s; 
c,o,mm,a,n,d,m,e,n,t;K,AH,M,AE,N,D,M,AH,N,T;s; AE
f,o,r;F,AO,R;s; AO
th,ei,r;DH,EH,R;s; 
d,ea,th;D,EH,TH;s; 
b,u,t;B,AH,T;s; 
s,o;S,OW;s; 
u,p,o,n;AH,P,AA,N;s; AA
th,i,s;DH,IH,S;s; IH
b,l,oo,d,y;B,L,AH,D,IY;s; IY
y,ou;Y,UW;s; UW
f,r,o,m;F,R,AH,M;s; 
th,e;DH,AH;s; 
p,o,l,a,ck;P,OW,L,ǝ,K;s; 
w,a,r,s;W,AO,R,Z;s; AO
a,n,d;AH,N,D;s; 
y,ou;Y,UW;s; UW
f,r,o,m;F,R,AH,M;s; 
e,n,g,l,a,n,d;IH,NG,G,L,AH,N,D;s; IH
o,r,d,e,r;AO,R,D,ǝ,R;s; AO
th,a,t;DH,AE,T;s; AE
b,o,d,ie,s;B,AA,D,IY,Z;s; AA,IY
o,n;AA,N;s; AA
a;AH;s; 
b,e;B,IY;s; IY
p,l,a,c,e,d;P,L,EH,S,IH,D;s; IH
t,o;T,UW;s; UW
th,e;DH,AH;s; 
v,ie,w;V,Y,UW;s; UW
a,n,d;AH,N,D;s; 
l,e,t;L,EH,T;s; 
m,e;M,IY;s; IY
s,p,ea,k;S,P,IY,K;s; IY
t,o;T,UW;s; UW
y,e,t;Y,EH,T;s; 
s,o;S,OW;s; 
sh,a,ll;SH,AE,L;s; AE
y,ou;Y,UW;s; UW
o,f;AH,V;s; 
c,a,r,n,a,l;K,AA,R,N,AA,L;s; AA,AA
b,l,oo,d,y;B,L,AH,D,IY;s; IY
a,n,d;AH,N,D;s; 
u,nn,a,t,u,r,a,l;ɤ,N,N,AW,T,r,ǝ,L;s; 
a,c,t,s;AE,K,T,S;s; AE
o,f;AH,V;s; 
o,f;AH,V;s; 
p,u,t;P,UH,T;s; UH
o,n;AA,N;s; AA
b,y;B,AY;s; AY
a,n,d;AH,N,D;s; 
f,o,r,c,e,d;F,AO,R,S,IH,D;s; AO,IH
a,n,d;AH,N,D;s; 
i,n;IH,N;s; IH
th,i,s;DH,IH,S;s; IH
u,p,sh,o,t;AH,P,SH,AA,T;s; AA
p,u,r,p,o,s,e,s;P,ɐ,R,P,ǝ,S,IH,Z;s; IH
m,i,s,t,oo,k;M,IH,S,T,UH,K;s; IH,UH
o,n;AA,N;s; AA
h,ea,d,s;HH,EH,D,Z;s; 
a,ll;AA,L;s; AA
th,i,s;DH,IH,S;s; IH
c,a,n;K,AE,N;s; AE
i;AY;s; AY
d,e,l,i,v,e,r;D,IH,L,IH,V,ǝ,R;s; IH,IH
o,f;AH,V;s; 
th,a,t;DH,AE,T;s; AE
i;AY;s; AY
sh,a,ll;SH,AE,L;s; AE
a,l,s,o;AO,L,S,OW;s; AO
t,o;T,UW;s; UW
s,p,ea,k;S,P,IY,K;s; IY
a,n,d;AH,N,D;s; 
f,r,o,m;F,R,AH,M;s; 
h,i,s;HH,IH,Z;s; IH
w,i,ll;W,IH,L;s; IH
o,n;AA,N;s; AA
b,u,t;B,AH,T;s; 
l,e,t;L,EH,T;s; 
th,i,s;DH,IH,S;s; IH
b,e;B,IY;s; IY
p,r,e,s,e,n,t,l,y;P,R,EH,Z,AH,N,T,L,IY;s; IY
e,v,e,n;IY,V,IH,N;s; IY,IH
l,e,s,t;L,EH,S,T;s; 
o,n;AA,N;s; AA
p,l,o,t,s;P,L,AA,T,S;s; AA
a,n,d;AH,N,D;s; 
e,rr,o,r,s;e,r,ǝ,R,Z;s; 
h,a,pp,e,n;HH,AE,P,AH,N;s; AE
