happiness,'HH AE P IY N AH S', s, AE IY
for,'F AO R', s, AO
your,'Y AO R', s, AO
let,'L EH T', s, 
pass,'P AE S', s, AE
by,'B AY', s, AY
be,'B IY', s, IY
nell,'N EH L', s, 
this,'DH IH S', s, IH
grief,'G R IY F', s, IY
nell,'N EH L', s, 
forbear,'F ǝ R B EH R', s, 
thou,'DH AW', s, 
all,'AA L', s, AA
awrry,'ǝ r ǝ IH', s, IH
i,'AY', s, AY
must,'M AH S T', s, 
offend,'AH F EH N D', s, 
i,'AY', s, AY
be,'B IY', s, IY
attainted,'ǝ T EH N T IH D', s, IH
and,'AH N D', s, 
had,'HH AE D', s, AE
i,'AY', s, AY
so,'S OW', s, 
foes,'F OW Z', s, 
and,'AH N D', s, 
each,'IY CH', s, IY
of,'AH V', s, 
them,'DH EH M', s, 
had,'HH AE D', s, AE
their,'DH EH R', s, 
all,'AA L', s, AA
not,'N AA T', s, AA
me,'M IY', s, IY
scathe,'S K AW DH', s, 
so,'S OW', s, 
as,'AE Z', s, AE
i,'AY', s, AY
am,'AE M', s, AE
loyal,'L ǝ IH ǝ L', s, IH
true,'T R UW', s, UW
and,'AH N D', s, 
me,'M IY', s, IY
thee,'DH IY', s, IY
from,'F R AH M', s, 
this,'DH IH S', s, IH
whhy,'ʍ ǝ IH', s, IH
yet,'Y EH T', s, 
wre,'W ER', s, 
not,'N AA T', s, AA
wiped,'W ǝ IH P T', s, IH
but,'B AH T', s, 
i,'AY', s, AY
in,'IH N', s, IH
for,'F AO R', s, AO
the,'DH AH', s, 
breach,'B R IY CH', s, IY
of,'AH V', s, 
greatest,'G r e T ǝ S T', s, 
is,'IH Z', s, IH
nell,'N EH L', s, 
i,'AY', s, AY
thee,'DH IY', s, IY
sort,'S AO R T', s, AO
heart,'HH AA R T', s, AA
to,'T UW', s, UW
few,'F Y UW', s, UW
wonder,'W ɤ N D ǝ R', s, 
will,'W IH L', s, IH
be,'B IY', s, IY
worn,'W AO R N', s, AO
and,'AH N D', s, 
my,'M AY', s, AY
consent,'K AH N S EH N T', s, 
herein,'ˌ IY R IH N', s, IY IH
this,'DH IH S', s, IH
is,'IH Z', s, IH
well,'W EH L', s, 
i,'AY', s, AY
will,'W IH L', s, IH
be,'B IY', s, IY
my,'M AY', s, AY
nell,'N EH L', s, 
i,'AY', s, AY
my,'M AY', s, AY
master,'M AW S T ǝ R', s, 
sheriff,'SH EH R AH F', s, 
let,'L EH T', s, 
not,'N AA T', s, AA
exceed,'IH K S IY D', s, IH IY
the,'DH AH', s, 
commission,'K AH M IH SH AH N', s, IH
must,'M AH S T', s, 
you,'Y UW', s, UW
protect,'P R AH T EH K T', s, 
my,'M AY', s, AY
lady,'L EY D IY', s, EY IY
not,'N AA T', s, AA
the,'DH AH', s, 
in,'IH N', s, IH
that,'DH AE T', s, AE
i,'AY', s, AY
you,'Y UW', s, UW
well,'W EH L', s, 
the,'DH AH', s, 
again,'ǝ ɡ EH N', s, 
and,'AH N D', s, 
i,'AY', s, AY
to,'T UW', s, UW
do,'D OW', s, 
you,'Y UW', s, UW
kindness,'K AY N D N AH S', s, AY
if,'IH F', s, IH
you,'Y UW', s, UW
do,'D OW', s, 
it,'IH T', s, IH
and,'AH N D', s, 
so,'S OW', s, 
witness,'W IH T N AH S', s, IH
my,'M AY', s, AY
tears,'T EH R Z', s, 
i,'AY', s, AY
cannot,'K AE N AA T', s, AE AA
to,'T UW', s, UW
speak,'S P IY K', s, IY
all,'AA L', s, AA
happiness,'HH AE P IY N AH S', s, AE IY
unto,'AH N T UW', s, UW
my,'M AY', s, AY
lord,'L AO R D', s, AO
the,'DH AH', s, 
pardon,'P AA R D ǝ N', s, AA
my,'M AY', s, AY
that,'DH AE T', s, AE
i,'AY', s, AY
so,'S OW', s, 
well,'W EH L', s, 
thou,'DH AW', s, 
shalt,'SH AE L T', s, AE
not,'N AA T', s, AA
see,'S IY', s, IY
me,'M IY', s, IY
blush,'B L ɤ SH', s, 
nor,'N AO R', s, AO
my,'M AY', s, AY
for,'F AO R', s, AO
this,'DH IH S', s, IH
a,'AH', s, 
heart,'HH AA R T', s, AA
unspotted,'ɤ N S P ɒ T IH D', s, IH
is,'IH Z', s, IH
not,'N AA T', s, AA
easily,'IY Z L ǝ IH', s, IY IH
daunted,'D AO N T IH D', s, AO IH
the,'DH AH', s, 
is,'IH Z', s, IH
not,'N AA T', s, AA
so,'S OW', s, 
free,'F R IY', s, IY
from,'F R AH M', s, 
mud,'M ɤ D', s, 
as,'AE Z', s, AE
i,'AY', s, AY
am,'AE M', s, AE
clear,'K L IY R', s, IY
from,'F R AH M', s, 
treason,'T R IY Z AH N', s, IY
to,'T UW', s, UW
my,'M AY', s, AY
who,'HH UW', s, UW
can,'K AE N', s, AE
me,'M IY', s, IY
wherein,'ʍ EH R IH N', s, IH
am,'AE M', s, AE
i,'AY', s, AY
guilty,'G IH L T IY', s, IH IY
is,'IH Z', s, IH
it,'IH T', s, IH
but,'B AH T', s, 
so,'S OW', s, 
what,'W AH T', s, 
that,'DH AE T', s, AE
think,'TH IH NG K', s, IH
it,'IH T', s, IH
i,'AY', s, AY
never,'N e V ǝ R', s, 
the,'DH AH', s, 
of,'AH V', s, 
their,'DH EH R', s, 
nor,'N AO R', s, AO
had,'HH AE D', s, AE
from,'F R AH M', s, 
so,'S OW', s, 
me,'M IY', s, IY
god,'G AA D', s, AA
as,'AE Z', s, AE
i,'AY', s, AY
the,'DH AH', s, 
by,'B AY', s, AY
good,'G UH D', s, UH
for,'F AO R', s, AO
england,'IH NG G L AH N D', s, IH
that,'DH AE T', s, AE
that,'DH AE T', s, AE
i,'AY', s, AY
wrested,'R EH S T IH D', s, IH
from,'F R AH M', s, 
the,'DH AH', s, 
or,'AO R', s, AO
groat,'G R OW T', s, 
i,'AY', s, AY
to,'T UW', s, UW
my,'M AY', s, AY
be,'B IY', s, IY
against,'AH G EH N S T', s, 
me,'M IY', s, IY
at,'AE T', s, AE
my,'M AY', s, AY
no,'N OW', s, 
a,'AH', s, 
of,'AH V', s, 
i,'AY', s, AY
not,'N AA T', s, AA
the,'DH AH', s, 
commons,'K AA M AH N Z', s, AA
i,'AY', s, AY
to,'T UW', s, UW
the,'DH AH', s, 
and,'AH N D', s, 
never,'N e V ǝ R', s, 
for,'F AO R', s, AO
restitution,'R EH S T IH T UW SH AH N', s, IH UW
i,'AY', s, AY
no,'N OW', s, 
than,'DH AE N', s, AE
truth,'T R UW TH', s, UW
so,'S OW', s, 
me,'M IY', s, IY
god,'G AA D', s, AA
whhy,'ʍ ǝ IH', s, IH
well,'W EH L', s, 
that,'DH AE T', s, AE
i,'AY', s, AY
was,'W AA Z', s, AA
was,'W AA Z', s, AA
all,'AA L', s, AA
the,'DH AH', s, 
fault,'F AO L T', s, AO
that,'DH AE T', s, AE
was,'W AA Z', s, AA
in,'IH N', s, IH
me,'M IY', s, IY
for,'F AO R', s, AO
i,'AY', s, AY
melt,'M EH L T', s, 
at,'AE T', s, AE
an,'AE N', s, AE
tears,'T EH R Z', s, 
and,'AH N D', s, 
wre,'W ER', s, 
ransom,'R AE N S AH M', s, AE
for,'F AO R', s, AO
their,'DH EH R', s, 
fault,'F AO L T', s, AO
unless,'ɤ N L e S', s, 
it,'IH T', s, IH
wre,'W ER', s, 
a,'AH', s, 
bloody,'B L AH D IY', s, IY
or,'AO R', s, AO
thief,'TH IY F', s, IY
that,'DH AE T', s, AE
poor,'P UH R', s, UH
i,'AY', s, AY
never,'N e V ǝ R', s, 
them,'DH EH M', s, 
condign,'K ɒ N D ǝ IH N', s, IH
punishhment,'P ɤ N IH SH ˌ M e N T', s, IH
indeed,'IH N D IY D', s, IH IY
that,'DH AE T', s, AE
bloody,'B L AH D IY', s, IY
sin,'S IH N', s, IH
i,'AY', s, AY
the,'DH AH', s, 
felon,'F EH L AH N', s, 
or,'AO R', s, AO
what,'W AH T', s, 
trespass,'T R EH S P AE S', s, AE
lord,'L AO R D', s, AO
is,'IH Z', s, IH
with,'W IH DH', s, IH
ambition,'AE M B IH SH AH N', s, AE IH
and,'AH N D', s, 
charity,'CH EH R IH T IY', s, IH IY
chased,'T SH EH S T', s, 
by,'B AY', s, AY
is,'IH Z', s, IH
predominant,'P R IH D AA M AH N AH N T', s, IH AA
and,'AH N D', s, 
your,'Y AO R', s, AO
land,'L AE N D', s, AE
i,'AY', s, AY
their,'DH EH R', s, 
complot,'K ɒ M P L ɒ T', s, 
is,'IH Z', s, IH
to,'T UW', s, UW
my,'M AY', s, AY
and,'AH N D', s, 
if,'IH F', s, IH
my,'M AY', s, AY
death,'D EH TH', s, 
this,'DH IH S', s, IH
island,'ǝ IH L ǝ N D', s, IH
and,'AH N D', s, 
the,'DH AH', s, 
of,'AH V', s, 
their,'DH EH R', s, 
tyrannny,'T IH r ǝ N ǝ IH', s, IH IH
i,'AY', s, AY
it,'IH T', s, IH
with,'W IH DH', s, IH
all,'AA L', s, AA
but,'B AH T', s, 
is,'IH Z', s, IH
the,'DH AH', s, 
to,'T UW', s, UW
their,'DH EH R', s, 
for,'F AO R', s, AO
thousands,'TH AW Z AH N D Z', s, 
that,'DH AE T', s, AE
yet,'Y EH T', s, 
suspect,'S ǝ S P e K T', s, 
no,'N OW', s, 
peril,'P EH R AH L', s, 
will,'W IH L', s, IH
not,'N AA T', s, AA
their,'DH EH R', s, 
plotted,'P L AA T AH D', s, AA
tragedy,'T R AE JH AH D IY', s, AE IY
red,'R EH D', s, 
his,'HH IH Z', s, IH
and,'AH N D', s, 
brow,'B r ə UH', s, UH
his,'HH IH Z', s, IH
sharp,'SH AA R P', s, AA
with,'W IH DH', s, IH
his,'HH IH Z', s, IH
the,'DH AH', s, 
load,'L OW D', s, 
that,'DH AE T', s, AE
upon,'AH P AA N', s, AA
his,'HH IH Z', s, IH
heart,'HH AA R T', s, AA
and,'AH N D', s, 
dogged,'D ɒ G IH D', s, IH
york,'Y AO R K', s, AO
that,'DH AE T', s, AE
reaches,'R IY CH AH Z', s, IY
at,'AE T', s, AE
the,'DH AH', s, 
moon,'M UW N', s, UW
arm,'AA R M', s, AA
i,'AY', s, AY
back,'B AE K', s, AE
by,'B AY', s, AY
doth,'D AO TH', s, AO
level,'L EH V AH L', s, 
at,'AE T', s, AE
my,'M AY', s, AY
and,'AH N D', s, 
you,'Y UW', s, UW
my,'M AY', s, AY
lady,'L EY D IY', s, EY IY
with,'W IH DH', s, IH
the,'DH AH', s, 
rest,'R EH S T', s, 
laid,'L EH D', s, 
on,'AA N', s, AA
my,'M AY', s, AY
and,'AH N D', s, 
with,'W IH DH', s, IH
your,'Y AO R', s, AO
best,'B EH S T', s, 
up,'AH P', s, 
my,'M AY', s, AY
to,'T UW', s, UW
be,'B IY', s, IY
enemy,'EH N AH M IY', s, IY
all,'AA L', s, AA
of,'AH V', s, 
you,'Y UW', s, UW
laid,'L EH D', s, 
your,'Y AO R', s, AO
heads,'HH EH D Z', s, 
myself,'M AY S EH L F', s, AY
had,'HH AE D', s, AE
of,'AH V', s, 
your,'Y AO R', s, AO
and,'AH N D', s, 
all,'AA L', s, AA
to,'T UW', s, UW
my,'M AY', s, AY
guiltless,'G IH L T L ǝ S', s, IH
i,'AY', s, AY
shall,'SH AE L', s, AE
not,'N AA T', s, AA
want,'W AA N T', s, AA
witness,'W IH T N AH S', s, IH
to,'T UW', s, UW
me,'M IY', s, IY
nor,'N AO R', s, AO
of,'AH V', s, 
to,'T UW', s, UW
augment,'AO G M EH N T', s, AO
my,'M AY', s, AY
guilt,'G IH L T', s, IH
the,'DH AH', s, 
ancient,'EY N CH AH N T', s, EY
proverb,'P r ɒ V ǝ R B', s, 
will,'W IH L', s, IH
be,'B IY', s, IY
well,'W EH L', s, 
effected,'IH F EH K T AH D', s, IH
a,'AH', s, 
staff,'S T AE F', s, AE
is,'IH Z', s, IH
to,'T UW', s, UW
beat,'B IY T', s, IY
a,'AH', s, 
dog,'D AO G', s, AO
far,'F AA R', s, AA
than,'DH AE N', s, AE
meant,'M EH N T', s, 
i,'AY', s, AY
indeed,'IH N D IY D', s, IH IY
the,'DH AH', s, 
winners,'W IH N ǝ R Z', s, IH
for,'F AO R', s, AO
me,'M IY', s, IY
and,'AH N D', s, 
well,'W EH L', s, 
to,'T UW', s, UW
speak,'S P IY K', s, IY
thus,'DH ɤ S', s, 
henry,'HH EH N R IY', s, IY
his,'HH IH Z', s, IH
crutch,'K r ɤ T SH', s, 
his,'HH IH Z', s, IH
legs,'L EH G Z', s, 
be,'B IY', s, IY
firm,'F ɐ R M', s, 
to,'T UW', s, UW
bear,'B EH R', s, 
his,'HH IH Z', s, IH
body,'B AA D IY', s, AA IY
thus,'DH ɤ S', s, 
is,'IH Z', s, IH
the,'DH AH', s, 
beaten,'B IY T ə N', s, IY
from,'F R AH M', s, 
and,'AH N D', s, 
who,'HH UW', s, UW
shall,'SH AE L', s, AE
thee,'DH IY', s, IY
that,'DH AE T', s, AE
my,'M AY', s, AY
fear,'F IY R', s, IY
wre,'W ER', s, 
that,'DH AE T', s, AE
it,'IH T', s, IH
wre,'W ER', s, 
for,'F AO R', s, AO
good,'G UH D', s, UH
henry,'HH EH N R IY', s, IY
i,'AY', s, AY
fear,'F IY R', s, IY
