a / an | =
dire / dis / dit / dites | di:ɹ / di / di, dit when followed by il / dit
direct | =
direct / ~s / ~ing / ~ed | = / = / dɪˈrektɪn, -ɪŋ / =
direction / ~s | dɪˈreksɪǝn / -z
direction-giver | dɪˈreksɪǝn-ˌgɪvǝɹ
directitude | dɪˈrektɪˌtju:d
directive | =
directly | dɪˈreklǝɪ, -ktlǝɪ
direful | ˈdǝɪɹfʊl
dire-lamenting | ˈdǝɪɹ-lǝˌmentɪn, -ɪŋ
direness | ˈdǝɪɹnǝs
dirge / ~s | dɐ:ɹdʒ / ˈdɐ:ɹdʒɪz
dirt | dɐ:ɹt
dirty | ˈdɐ:ɹtǝɪ
Dis / ~’s | dɪs / ˈdɪsɪz
disability | m ˌdɪsǝˈbɪlɪˌtǝɪ
disab·le / ~led | dɪsˈɛ:bǝl / m dɪsˈɛ:bǝld, -lɪd
disabling | dɪsˈɛ:blɪn, -ɪŋ
disadvantage | ˌdɪsǝdˈvantɪdʒ
disagree | =
disallow | ˌdɪsǝˈlǝʊ
disanimate / ~s | dɪsˈanɪˌmɛ:ts
disannul / ~s | ˌdɪsǝˈnɤl / -z
disappointed | ˌdɪsǝˈpǝɪntɪd
disarm / ~eth / ~ed | dɪsˈɑ:ɹm / -ǝθ / -d
disaster / ~s | dɪsˈastǝɹ / -z
disaster | dɪsˈastǝɹ
disastrous | dɪsˈastrǝs
disbench / ~ed | dɪsˈbenʃt
disburse / ~d | dɪsˈbɐ:ɹs / m -ɪd, -t
disburthen / ~ed | dɪsˈbɐ:ɹðǝnd
discandering | dɪsˈkandrɪn, -ɪŋ, -dǝr-
discandy | dɪsˈkandǝɪ
discard / ~ed | dɪsˈkɑ:ɹd / -ɪd
discase | dɪsˈkɛ:s
discern / ~est / ~s / ~ing / ~ed | dɪˈsɐ:ɹn / -st / -z / -ɪn, -ɪŋ / -d
discerner | dɪˈsɐ:ɹnǝɹ
discerning / ~s | dɪˈsɐ:ɹnɪnz, -ɪŋz
discharge | dɪsˈtʃɑ:ɹdʒ
discharg·e / ~ed / ~ing | dɪsˈtʃɐ:ɹdʒ / -ɪn, -ɪŋ / m -d, -ɪd
disciple / ~s | dɪˈsǝɪpǝl / -z
disciple / ~d | dɪˈsǝɪpǝld
discipline / ~s | m ˈdɪsɪplɪn, -ˌplɪn / -ɪplɪnz
discipline / ~d | m ˈdɪsɪplɪnd, -ˌplɪnd
disclaim / ~est / ~s / ~ing / ~ed | dɪsˈklɛ:m / -st / -z / -ɪn, -ɪŋ / -d
disclaiming | dɪsˈklɛ:mɪn, -ɪŋ
disclose | dɪsˈklo:z
disclose / ~s / ~d | dɪsˈklo:z / -ɪz / -d
discolour / ~s | dɪsˈkɤlǝɹ / -z
discoloured | dɪsˈkɤlǝɹd
discomfit / ~ed | dɪsˈkɤmfɪt / -ɪd
discomfiture | dɪsˈkɤmfɪtǝɹ
discomfort | dɪsˈkɤmfǝɹt
discomfortable | m dɪsˈkɤmfǝɹˌtabǝl
discommend | =
disconsolate | m dɪsˈkɒnsǝˌlɛ:t
discontent / ~s | =
discontented | =
discontentedly | ˌdɪskǝnˈtentɪdlǝɪ
discontenting | ˌdɪskǝnˈtentɪn, -ɪŋ
discontinue / ~d | =
discord / ~s | ˈdɪskɔ:ɹd / -z
discordant | dɪsˈkɔ:ɹdǝnt
discourse / ~s | dɪsˈkɔ:ɹs / -ɪz
discourse / ~s / ~d | dɪsˈkɔ:ɹs / -ɪz / m -ɪd
discourser | dɪsˈkɔ:ɹsǝɹ
discourtesy | m dɪsˈkɔ:ɹtǝˌsǝɪ
discover / ~s / ~ed | dɪsˈkɤvǝɹ / -z / m -ɪd, -d
discoverer / ~s | dɪsˈkɤvrǝɹz, -vǝr-
discover·y / ~ies | m dɪsˈkɤvrǝɪ, -vǝr-, ǝˌrǝɪ / -vrǝɪz
discredit / ~s | =
discredit / ~ed | =
discreet | =
discreetly | dɪsˈkri:tlǝɪ
discretion / ~s | dɪsˈkresɪǝn / -z
discretion-answer | dɪsˈkresɪǝn-ˈansǝɹ
discuss | dɪsˈkɤs
disdain | dɪsˈdɛ:n
disdain / ~est / ~s / ~eth / ~ing/ ~ed | dɪsˈdɛ:n / -st / -z / -ǝθ / -ɪn, -ɪŋ / m -d, -ɪd
disdainful | dɪsˈdɛ:nfʊl
disdainfully | dɪsˈdɛ:nflǝɪ, -fǝl-
disease / ~d | m dɪsˈi:zd, -zɪd
disease / ~s | dɪsˈi:z / dɪsˈi:zɪz
disedge / ~d | =
disembark | ˌdɪsɪmˈbɑ:ɹk
disfigure / ~d | dɪsˈfɪgǝɹ / -d, -ɪd
disfurnish | dɪsˈfɐ:ɹnɪʃ
disgest / ~ed | dɪsˈdʒest / -ɪd
disgestion / ~s | dɪsˈdʒestɪǝnz
disgorge | dɪsˈgɔ:ɹdʒ
disgrace / ~’s / ~s | dɪsˈgrɛ:s / -ɪz
disgrac·e / ~ing / ~ed | dɪsˈgrɛ:s / -ɪn, -ɪŋ / m -t, -ɪd
disgraced | m dɪsˈgrɛ:st
disgraceful | dɪsˈgrɛ:sfʊl
disgracious | dɪsˈgrɛ:sɪǝs
disguise / ~s | dɪsˈgǝɪz / -ɪz
disguis·e / ~ing / ~ed | dɪsˈgǝɪz / -ɪn, -ɪŋ / -d
disguised | dɪsˈgǝɪzd
disguised | dɪsˈgǝɪzd
disguiser | dɪsˈgǝɪzǝɹ
disguising | dɪsˈgǝɪzɪn, -ɪŋ
dish / ~es | =
dish / ~ed | =
dishabit / ~ed | dɪsˈabɪtɪd, -ˈha-
dish-clout | ˈdɪʃ-ˌklǝʊt
dishearten / ~s | dɪsˈɑ:ɹtǝn, -ˈhɑ:- / -z
dishonest | =
dishonestly | m dɪsˈɒnɪstˌlǝɪ
dishonesty | m dɪsˈɒnɪsˌtǝɪ, -st-
dishonour / ~’s / ~s | dɪsˈɒnǝɹ / -z
dishonour / ~s / ~ed | dɪsˈɒnǝɹ / -z / -d
dishonourable | m dɪsˈɒnǝˌrabǝl, -ǝrǝb-
dishonoured | m dɪsˈɒnǝɹd, -ǝˌrɪd
dis-horn | dɪsˈɔ:ɹn, -ˈhɔ:-
disinherit / ~ed | ˌdɪsɪnˈerɪt, -ˈhe- / -ɪd
disjoin / ~s / ~ing / ~ed | dɪsˈdʒǝɪn / -z / -ɪn, -ɪŋ / -d
disjoint | dɪsˈdʒǝɪnt
disjunction | dɪsˈdʒɤŋksɪǝn
dislike / ~s | dɪsˈlǝɪk / -s
dislike / ~est / ~s / ~n | dɪsˈlǝɪk / -st / -s / -ǝn
dislimn / ~s | dɪsˈlɪmz
dislodge / ~d | =
disloyal | dɪsˈlǝɪǝl
disloyalty | m dɪsˈlǝɪǝlˌtǝɪ
dismal / ~lest | ˈdɪzmɑl / -st
dismantle / ~d | =
dismask / ~ed | dɪsˈmaskt
dismay / ~ed | dɪsˈmɛ:d
dismay | dɪsˈmɛ:
dismay / ~ed | dɪsˈmɛ: / -d
disme / ~s | dǝɪmz
dismember / ~ed | dɪsˈmembǝɹ / -d
dismiss / ~ing / ~ed | = / dɪsˈmɪsɪn, -ɪŋ / =
dismissed | m dɪsˈmɪst, -sɪd
dismission | dɪsˈmɪsɪǝn
dismount / ~ed | dɪsˈmǝʊnt / -ɪd
disnatured | dɪsˈnɛ:tǝɹd
disobedience | =
disobedient | =
disobey / ~s | ˌdɪsǝˈbɛ: / -z
disorbed | dɪsˈɔ:ɹbd
disorder / ~s | dɪsˈɔ:ɹdǝɹ / -z
disordered | dɪsˈɔ:ɹdǝɹd
disorderly | dɪsˈɔ:ɹdǝɹlǝɪ
disparage | =
disparagement / ~s | =
dispark / ~ed | dɪsˈpɑ:ɹkt
dispatch / ~ed | =
dispensation | ˌdɪspǝnˈsɛ:sɪǝn
dispense / ~s | =
disperse / ~d | dɪsˈpɐ:ɹs / m -t, -ɪd
dispersedly | dɪsˈpɐ:ɹsɪdlǝɪ
displace / ~d | dɪsˈplɛ:s / -t
displant | dɪsˈplant
displanting | dɪsˈplantɪn, -ɪŋ
display / ~ed | dɪsˈplɛ: / -d
displease / ~d | =
displeasing | dɪsˈpli:zɪn, -ɪŋ
displeasure / ~s | dɪsˈplezǝɹ / -z
disport / ~s | dɪsˈpɔ:ɹts
disport | dɪsˈpɔ:ɹt
dispose | dɪsˈpo:z
dispose / ~d | m dɪsˈpo:z / -d, -ɪd
disposed | m dɪsˈpo:zɪd
disposer | dɪsˈpo:zǝɹ
dispos·er / ~é | dispoˈze
disposing | dɪsˈpo:zɪn, -ɪŋ
disposition / ~s | ˌdɪspǝˈzɪsɪǝn / -z
dispossess / ~ing / ~ed | ˌdɪspǝˈzes / -ɪn, -ɪŋ / -t
dispraise | dɪsˈprɛ:z
disprais·e / ~ing / ~ed | dɪsˈprɛ:z / -ɪn, -ɪŋ / -d
dispraisingly | dɪsˈprɛ:zɪnˌlǝɪ, -ɪŋ-
disprize / ~ing | dɪsˈprǝɪzɪn, -ɪŋ
disprized | ˈdɪsprǝɪzd
dispropert·y / ~ied | dɪsˈprɒpǝɹtǝɪd
disproportion / ~s | ˌdɪsprǝˈpɔ:ɹsɪǝn / -z
disproportion / ~ed | ˌdɪsprǝˈpɔ:ɹsɪǝn / -d
disproportioned | ˌdɪsprǝˈpɔ:ɹsɪǝnd
disprove / ~st / ~d | dɪsˈprɤv, -u:v / -st / m -ɪd
dispunge | dɪsˈpɤndʒ
disputable | m ˈdɪspjǝˌtabǝl
disputation / ~s | m ˌdɪspjǝˈtɛ:sɪǝn, -ɪˌɒn / -ɪǝnz
disput·e / ~est / ~s / ~ing / ~d | = / dɪsˈpju:ts, -tst / = / dɪsˈpju:tɪn, -ɪŋ / =
disquantity | m dɪsˈkwɒntɪˌtǝɪ
disquiet | dɪsˈkwǝɪǝt
disquietly | dɪsˈkwǝɪǝtlǝɪ
disrelish | =
disrobe | dɪsˈro:b
dis-seat | =
dissemble / ~d | =
dissembler / ~s | dɪˈsemblǝɹ / -z
dissembling | dɪˈsemblɪn, -ɪŋ
dissembly | dɪˈsemblǝɪ
dissension / ~s | dɪˈsensɪǝn / -z
dissentious | dɪˈsensɪǝs
dissever / ~ed | dɪˈsevǝɹ / -d
dissolute | ˈdɪsǝˌlu:t
dissolutely | ˌdɪsǝˈlu:tlǝɪ
dissolution | ˌdɪsǝˈlu:sɪǝn
dissolve / ~s / ~ed | dɪˈsɒlv, -ˈzɒ- / -z / m -d, -ɪd
dissuade / ~d | dɪˈswɛ:d / -ɪd
distaff / ~s | ˈdɪstaf / -s
distaff-women | ˈdɪstaf-ˈwɪmɪn
distain / ~s | dɪˈstɛ:n / -z
distained | dɪˈstɛ:nd
distance | =
distant | =
distast·e / ~ing | dɪsˈtast / -ɪn, -ɪŋ
distasteful | dɪsˈtastfʊl
distemper | dɪsˈtempǝɹ
distemperature / ~s | m dɪsˈtemprǝtǝɹ, -ˌtu:ɹ, -pǝr- / -prǝˌtu:ɹz, -pǝr-
distempered | dɪsˈtempǝɹd
distempering | dɪsˈtemprɪn, -ɪŋ, -pǝr-
distil / ~led | = / dɪsˈtɪld
distillation | ˌdɪstɪˈlɛ:sɪǝn
distilled | m dɪsˈtɪld, -lɪd
distilling | dɪsˈtɪlɪn, -ɪŋ
distilment | =
distinct | m ˈdɪstɪŋkt, dɪsˈtɪŋkt
distinction | dɪsˈtɪŋksɪǝn
distinctly | dɪsˈtɪŋklǝɪ, -ktl-
distingué | distɛ̃ˈge
distinguish / ~es / ~ed | =
distinguishment | =
distract | =
distract / ~s / ~ed | =
distracted | =
distractedly | m dɪsˈtraktɪdˌlǝɪ
distraction / ~s | dɪsˈtraksɪǝn, -ɪˌɒn / -z
distrain / ~ed | dɪsˈtrɛ:nd
distraught | dɪsˈtrɔ:t
distress / ~es | =
distressed | m dɪsˈtresɪd, dɪsˈtrest, ˈdɪstrest
distressful | =
distribute / ~d | =
distribution | m ˌdɪstrɪˈbju:sɪǝn, -ɪˌɒn
distrust | dɪsˈtrɤst
distrustful | dɪsˈtrɤstfʊl
disturb / ~ing / ~ed | dɪsˈtɐ:ɹb / -ɪn, -ɪŋ / -d
disturbed | dɪsˈtɐ:ɹbd
disturber / ~s | dɪsˈtɐ:ɹbǝɹz
disunite | ˌdɪsjǝˈnǝɪt
disvalue / ~d | =
disvouch / ~ed | dɪsˈvǝʊtʃt
ditch / ~es | =
ditch / ~ed | =
ditch-deliver / ~ed | ˈdɪtʃ-dɪˈlɪvǝɹd
ditch-dog | =
ditcher / ~s | ˈdɪtʃǝɹz
ditt·y / ~ies | ˈdɪtǝɪ / -z
diurnal | dɪˈu:ɹnɑl
dive / ~s / ~d | dǝɪv / -z / -d
diver | ˈdǝɪvǝɹ
divers [several] | ˈdǝɪvǝɹz
diversely | dɪˈvɐ:ɹslǝɪ
diversity | m dɪˈvɐ:ɹsɪˌtǝɪ
divert / ~s / ~ed | dɪˈvɐ:ɹt / -s / -ɪd
diverted | dɪˈvɐ:ɹtɪd
Dives | ˈdi:vɛ:z
divest / ~ing | dɪˈvest / -ɪn, -ɪŋ
dividable | dɪˈvǝɪdǝbǝl
dividant | dɪˈvǝɪdǝnt
divide / ~s / ~th / Luc ~ing / ~d | dɪˈvǝɪd / -z / -ǝθ / -ɪn, -ɪŋ / -ɪd
divided | dɪˈvǝɪdɪd
divin | dɪˈvɛ̃
divination | ˌdɪvɪˈnɛ:sɪǝn
divine / ~st | dɪˈvǝɪn / -ǝst
divine / ~s | dɪˈvǝɪn / -z
divine / ~s | dɪˈvǝɪn / -z
divinely | dɪˈvǝɪnlǝɪ
divineness | dɪˈvǝɪnǝs
diviner | dɪˈvǝɪnǝɹ
divining | dɪˈvǝɪnɪn, -ɪŋ
divinity | m dɪˈvɪnɪˌtǝɪ, -ɪt-
division / ~s | m dɪˈvɪzɪǝn, -ɪˌɒn / dɪˈvɪzɪǝnz
divorce | dɪˈvɔ:ɹs
divorce / ~d | dɪˈvɔ:ɹs / m -ɪd, -t
divorcement | dɪˈvɔ:ɹsmǝnt
divulg·e / ~ing / ~ed | dɪˈvɤldʒ / -ɪn, -ɪŋ / m -d, -ɪd
divulged | m dɪˈvɤldʒɪd
dizzy | ˈdɪzǝɪ
Dizzy [name] | ˈdɪzǝɪ
dizzy-eyed | ˈdɪzǝɪ-ˌǝɪd
do
- do | str =, unstr dǝ, d
- doest | str ˈdu:ǝst, du:st, dɤst, unstr dǝst
- does | str dɤz, du:z, unstr dǝz
- doeth, doth | str ˈdu:ǝθ, du:θ, dɤθ, unstr dǝθ
- doing | ˈdu:ɪn, -ɪŋ
- did | =
- diddest | dɪds, -t
- done | dɤn
do | do:
Dobbin / ~’s | =
dock / ~s | =
dock / ~s | =
doctor / ~’s / ~s | ˈdɒktǝɹ / -z
doctrine | =
document | =
dodge | =
doe [animal] | do:
doer / ~’s / ~s | ˈdu:ǝɹ / -z
doff | =
dog / ~’s / ~s | =
dog / ~s / ~ged | =
dog-ape / ~s | ˈdɒg-ˌɛ:ps
Dogberry | ˈdɒgbrǝɪ, -bǝr-
dog-days | ˈdɒg-ˌdɛ:z
dog-fish | =
dog-fox | =
dogged | ˈdɒgɪd
dog-hole | ˈdɒg-ˌo:l, -ˌho:l
dog-weary | ˈdɒg-ˌwɛ:rǝɪ
doigt / ~s | dwɛ
doing / ~s | ˈdu:ɪn, -ɪŋ / -z
doit | dǝɪt
Doit [name] | dǝɪt
Dolabella | ˌdɒlǝˈbelǝ
dole | do:l
doleful | ˈdo:lfʊl
Doll [name] | =
dollar / ~s | ˈdɒlǝɹ / -z
dolorous | m ˈdɒlǝˌrɤs
dolour / ~s | ˈdɒlǝɹ / -z
dolphin | ˈdɒlfɪn
dolphin / ~’s | ˈdɒlfɪnz
dolphin-chamber | ˈdɒlfɪn-ˌtʃambǝɹ
dolphin-like | ˈdɒlfɪn-ˌlǝɪk
dolt / ~s | do:lt / -s
Dombe | dʊm
Dombledon | ˈdʊmbǝldǝn
domestic | =
domestic / ~s | =
domination / ~s | ˌdɒmɪˈnɛ:sɪǝnz
dominator | ˈdɒmɪˌnɛ:tǝɹ
dominator | ˌdɒmɪˈnɑ:tɔ:ɹ
domineer | ˌdɒmɪˈni:ɹ
domineering | ˌdɒmɪˈni:rɪn, -ɪŋ
dominical | dǝˈmɪnɪˌkɑl
dominion / ~s | dǝˈmɪnɪǝn / m dǝˈmɪnɪǝnz, -ɪˌɒnz /
domin·us / ~e | ˈdɒmɪnɛ:
Domitian | dǝˈmɪsɪǝn
Domitius | dǝˈmɪsɪǝs
don / ~ned | =
Don [title] | =
Donalbaine | ˈdɒnǝlˌbɛ:n
donation | dǝˈnɛ:sɪǝn
donc | dɔ̃:k
Doncaster | ˈdɒnkastǝɹ
donner / donne / ~rai | dɔˈne / dɔn / dɔnǝˈrɛ
doom / ~’s | dɤm, du:m / -z
doom / ~ed | dɤm, du:m / -d
doomsday | ˈdɤmzdɛ:, ˈdu:-
door / ~s | dɔ:ɹ / -z
door-nail | ˈdɔ:ɹ-ˌnɛ:l
Dorcas | ˈdɒɹkǝs
Doreus | ˈdɒɹɪǝs
Doricles | ˈdɒɹɪˌkli:z
dormouse | ˈdɔ:ɹmǝʊs
Dorothy | ˈdɒrǝtǝɪ
Dorset | ˈdɔ:ɹsǝt
Dorsetshire | m ˈdɔ:ɹsǝtˌʃǝɪɹ
dotage | ˈdo:tɪdʒ
dotant | ˈdo:tǝnt
dotard / ~s | ˈdo:tǝɹd / -z
dot·e / ~s / ~eth / ~ing / ~ed | do:t / -s / ˈdo:t·ǝθ / -ɪn, -ɪŋ / -ɪd
doter / ~s | ˈdo:tǝɹ / -z
doting | ˈdo:tɪn, -ɪŋ
double / ~r | ˈdɤbǝl / -blǝɹ
double / ~s VA | ˈdɤbǝlz
Double [name] | ˈdɤbǝl
doubl·e / ~ing / ~ed | ˈdɤbǝl / ˈdɤblɪn, -ɪŋ / ˈdɤbǝld
double-charge | ˈdɤbǝl-ˌtʃɑ:ɹdʒ
doubled | ˈdɤbǝld
double-damned | ˈdɤbǝl-ˌdamd
double-dealer | ˌdɤbǝl-ˈdi:lǝɹ
double-dealing | ˌdɤbǝl-ˈdi:lɪn, -ɪŋ
double-fatal | ˈdɤbǝl-ˌfɛ:tɑl
double-horned | ˈdɤbǝl-ˌɔ:ɹnd, -ˌhɔ:-
double-man | ˈdɤbǝl-ˌman
double-meaning | ˈdɤbǝl-ˌmi:nɪn, -ɪŋ
doubleness | ˈdɤbǝlnǝs
doublet / ~s | ˈdɤblɪt / -s
doubling | ˈdɤblɪn, -ɪŋ
doubly | ˈdɤblǝɪ
doubt / ~s | dǝʊt, Holofernes LLL 5.1.20 dǝʊbt / -s
doubt / ~est / ~s / ~ing / ~ed | dǝʊt / -st / -s / ˈdǝʊt·ɪn, -ɪŋ / -ɪd
doubtful | ˈdǝʊtfʊl
doubtfully | m ˈdǝʊtfʊˌlǝɪ, -fl-
doubtless | ˈdǝʊtlǝs
dough | do:
doughty-handed | ˈdǝʊtǝɪ-ˌandɪd, -ˌha-
doughy | ˈdo:ǝɪ
Douglas | ˈdo:glǝs
doute | dut
dove / ~’s / ~s | dɤv / -z
dovecote | ˈdɤv-ˌko:t
dove-drawn | m ˌdɤv-ˈdrɔ:n
dove-feathered | ˈdɤv-ˌfeðǝɹd
dove-house | ˈdɤvˌǝʊs, -ˌhǝʊs
Dover | ˈdo:vǝɹ
dowager | ˈdǝʊǝdʒǝɹ
dowdy | ˈdǝʊdǝɪ
dower / ~s | do:ɹ, dǝʊɹ / -z
dower / ~ed | do:ɹd, dǝʊɹd
dowerless | ˈdo:ɹlǝs, dǝʊɹ-
dowlas | ˈdǝʊlǝs
dowle | dǝʊl
down | dǝʊn
downfall | ˈdǝʊnfɑ:l
down-gyved | m ˌdǝʊn-ˈdʒǝɪvɪd
down-pillow | m ˌdǝʊn-ˈpɪlǝ, -lo:
down-razed S | m ˌdǝʊn-ˈrɛ:st
downright | m ˈdǝʊnrǝɪt, dǝʊnˈrǝɪt
down-rop·e / ~ing | m ˌdǝʊn-ˈro:pɪn, -ɪŋ
Downs | dǝʊnz
downstairs | ˌdǝʊnˈstɛ:ɹz, ˈdǝʊnˌstɛ:ɹz
downtrodden | ˌdǝʊnˈtrɒdǝn
downward / ~s | ˈdǝʊnwǝɹd / -z
downy | ˈdǝʊnǝɪ
dowr·y / ~ies | ˈdǝʊrǝɪ / -z
Dowsabell | m ˈdǝʊzǝˌbel
dowset / ~s TNK | ˈdǝʊsets
doxy | ˈdɒksǝɪ
dozen | ˈdɤzǝn
dozen / ~s | ˈdɤzǝn / -z
drab / ~s | =
drab / ~bing | ˈdrabɪn, -ɪŋ
drachma / ~s | ˈdrakmǝ / -z
draff | =
drag / ~ged | =
dragon / ~’s / ~s / ~s’ | =
dragonish | =
dragon-like | ˈdragǝn-ˌlǝɪk
drain / ~s / ~ed | drɛ:n / -z / -d
dram | =
draught / ~s | draft / -s
draught-oxen | ˈdraft-ˌɒksǝn
draw / ~est / ~s / ~eth / ~ing / ~n / drew / ~est | = / drɔ:st / = / = / ˈdrɔ:ɪn, -ɪŋ / = / = / dru:st
drawbridge | =
drawer / ~s | ˈdrɔ:ǝɹ / -z
drawing | ˈdrɔ:ɪn, -ɪŋ
drawling-affecting | ˈdrɔ:lɪn-ǝˈfektɪn, -ɪŋ-
drawn | =
dray·man / ~men | ˈdrɛ:-mǝn
dread | =
dread / ~s / ~eth / ~ing / ~ed | = / = / = / ˈdredɪn, -ɪŋ / =
dreaded | =
dreadful | =
dreadfully | ˈdredflǝɪ, -fʊl-
dream / ~s | =
dream / ~est / ~s / ~ing / ~ed / -t | = / dri:mst / = / ˈdri:mɪn, -ɪŋ / =
dreamer / ~s | ˈdri:mǝɹ / -z
dreaming | ˈdri:mɪn, -ɪŋ
dreg / ~s | =
drench | =
drench / ~ed | =
drenched | m ˈdrenʃɪd
dress | =
dress / ~ed | =
dresser | ˈdresǝɹ
dressing / ~s | ˈdresɪnz, -ɪŋz
dribbling | ˈdrɪblɪn, -ɪŋ
dried | drǝɪd
drift | =
drily | ˈdrǝɪlǝɪ
drink / ~s | =
drink / ~est / ~s / ~ing / drank / drunk / ~est | = / drɪnkst / = / ˈdrɪnkɪn, -ɪŋ / = / drɤŋk / -st
drinking / ~s | ˈdrɪnkɪn, -ɪŋ / -z
driv·e / ~est / ~s / ~eth / ~ing / drave / driven / drove / droven | drǝɪv / -st / -z / -ǝθ / ˈdrǝɪvɪn, -ɪŋ / drɛ:v / = / dro:v / ˈdro:vǝn
drivelling | ˈdrɪvlɪn, -ɪŋ, -vǝl-
driven | =
driving | ˈdrǝɪvɪn, -ɪŋ
drizzle / ~s | =
drizzled | =
droit Fr | drwɛ
drollery | ˈdrɒlrǝɪ, -lǝr-
Dromio / ~s | m ˈdro:mɪo:, -ɪˌo: / ˈdro:mɪo:z
drone / ~s | dro:n / -z
droop / ~s / ~eth / ~ing / ~ed | = / = / = / ˈdru:pɪn, -ɪŋ / =
drooping | ˈdru:pɪn, -ɪŋ
drop / ~s | =
drop / ~s / ~eth / ~ping / ~ped | = / = / = / ˈdrɒpɪn, -ɪŋ / =
Drop-heir [name] | ˈdrɒp-ˌɛ:ɹ
droplet / ~s | =
dropped | =
dropping | ˈdrɒpɪn, -ɪŋ
dropping / ~s | ˈdrɒpɪnz, -ɪŋz
dropsied | ˈdrɒpsǝɪd
drops·y / ~ies | ˈdrɒpsǝɪ / -z
dross | =
drossy | ˈdrɒsǝɪ
drought / Per, VA drouth | drǝʊt / drǝʊθ
drovier | ˈdro:vɪǝɹ
drown / ~s / ~ing / ~ed | drǝʊn / -z / ˈdrǝʊn·ɪn, -ɪŋ / m -ɪd, drǝʊnd
drowned | m drǝʊnd, ˈdrǝʊnɪd
drowning | ˈdrǝʊnɪn, -ɪŋ
drowning-mark | ˈdrǝʊnɪn-ˌmɑ:ɹk, -ɪŋ-
drowse / ~d | drǝʊz / -d
drowsily | ˈdrǝʊzɪlǝɪ
drowsiness | ˈdrǝʊzɪnǝs
drowsy | ˈdrǝʊzǝɪ
drudge / ~’s / ~s | drɤdʒ / ˈdrɤdʒɪz
drudgery | ˈdrɤdʒrǝɪ, -dʒǝr-
drug / ~s | drɤg / -z
drug / ~ged | drɤgd
drug-damned | ˈdrɤg-ˌdamd
drum / ~s | drɤm / -z
drum / ~s | drɤmz
Drum / ~’s [name] | drɤmz
drumble | ˈdrɤmbǝl
drummer | ˈdrɤmǝɹ
drumming | ˈdrɤmɪn, -ɪŋ
drunk | drɤŋk
drunkard / ~s | ˈdrɤŋkǝɹd / -z
drunken | ˈdrɤŋkǝn
drunkenly | m ˈdrɤŋkǝnlǝɪ, -ˌlǝɪ
drunkenness | m ˈdrɤŋkǝnˌnes, -ǝnǝs
dr·y / ~ier | drǝɪ / -ǝɹ
dr·y / ~ies / ~ied | drǝɪ / -z / -d
dry-beat | ˌdrǝɪ-ˈbi:t
dry-beaten | ˌdrǝɪ-ˈbi:tǝn
dryfoot | ˈdrǝɪfʊt
dryness | ˈdrǝɪnǝs
dry-nurse | ˈdrǝɪ-ˌnɐ:ɹs
dualist | ˈdju:ǝlɪst
dub / ~bed | dɤb / -d
ducat / ~s | ˈdɤkǝt / -s
ducdame | ˌdɤkˈdami:
Duchess / ~’ | ˈdɤtʃes
Duchy | ˈdɤtʃǝɪ
duck / ~s | dɤk / -s
duck / ~s | dɤk / -s
dudgeon | ˈdɤdʒǝn, -ɪǝn
due | dju:
due / ~r | ˈdju:ǝɹ
due / ~s | dju: / -z
duello | djʊˈelo:
Duff [name] | dɤf
dug / ~s | dɤg / -z
Duke / ~’s / ~s [title] | dju:k / -s
duke / ~s | dju:ks
dukedom / ~s | ˈdju:kdǝm / -z
dulcet | ˈdɤlsɪt
dulche | ˈdʊlke:
dull / ~er / ~est | dɤl / ˈdɤl·ǝɹ / -ǝst
dull / ~s / ~ed | dɤl / -z / -d
Dull [name] | dɤl
dullard | ˈdɤlǝɹd
dull-brained | ˈdɤl-ˌbrɛ:nd
dull-eyed | ˈdɤl-ˌǝɪd
dulling | ˈdɤlɪn, -ɪŋ
dullness | ˈdɤlnǝs
dully | ˈdɤlǝɪ
duly | ˈdju:lǝɪ
Dumaine | du:ˈmɛ:n
dumb | dɤm
dumb-discoursive | ˈdɤm-dɪsˈkɔ:ɹsɪv
dumbly | ˈdɤmlǝɪ
dumbness | ˈdɤmnǝs
dumb-show / ~s | ˈdɤm-ˌʃo: / -z
dump / ~s | dɤmp / -s
dun / ~nest | dɤn / ˈdɤnǝst
Dun [name] | dɤn
Duncan / ~’s | ˈdɤŋkǝn / -z
dun-coloured | ˈdɤn-ˌkɤlǝɹd
dung | dɤŋ
dungeon / ~s | ˈdɤndʒǝn / -z
dunghill / ~s | ˈdɤŋ-ˌɪl, -ˌhɪl / -z
dungy | ˈdɤndʒǝɪ
Dunsinane | m ˈdɤnsɪˌnɛ:n, dɤnˈsɪnǝn
Dunsmore | ˈdɤnzmɔ:ɹ
Dunstable | m ˈdɤnsbǝl, -stǝb-
dup / ~ped | ˈdɤpt
durance | ˈdju:rǝns
during | ˈdju:rɪn, -ɪŋ
dusky | ˈdɤskǝɪ
dust | dɤst
dusty | ˈdɤstǝɪ
Dutch | dɤtʃ
Dutchman / ~’s | ˈdɤtʃmǝn / -z
duteous | ˈdju:tɪǝs
dutiful | ˈdju:tɪfʊl
dut·y / ~y’s / ~ies | ˈdju:tǝɪ / -z
dwarf | dwɑ:ɹf
dwarfish | ˈdwɑ:ɹfɪʃ
dwell / ~est / ~s / ~ing / ~ed / dwelt | = / dwelst / = / ˈdwelɪn, -ɪŋ / =
dwelling | ˈdwelɪn, -ɪŋ
dwelling-house | ˈdwelɪn-ˌǝʊs, -ɪŋ-, -ˌhǝʊs
