character,play,gender,numlines
SECOND GENTLEMAN,Pericles,Male,15
DORSET,Richard III,Male,15
TITUS,Timon of Athens,Male,15
SOLDIER,Timon of Athens,Male,15
FIRST COUNTRYMAN,The Two Noble Kinsmen,Male,15
CAMBRIDGE,Henry V,Male,15
FIRST SENATOR,Cymbeline,Male,15
FIRST MERCHANT,The Comedy of Errors,Male,15
MESSENGER,The Comedy of Errors,Male,15
MONTAGUE,Henry VI Part 3,Male,15
TUBAL,The Merchant of Venice,Male,15
FIRST SERVINGMAN,The Taming of the Shrew,Male,15
CAPTAIN,Richard II,Male,15
SECOND MURDERER,Macbeth,Male,15
SALISBURY,Henry VI Part 1,Male,15
PETO,Henry IV Part 1,Male,15
GLOUCESTER,Henry IV Part 2,Male,15
TRAVERS,Henry IV Part 2,Male,15
SERVANT,The Winter's Tale,Male,15
AEDILE,Coriolanus,Male,15
MESSENGER,Henry VI Part 2,Male,15
SEXTON,Much Ado About Nothing,Male,15
FIRST VOLSCIAN SENATOR,Coriolanus,Male,14
FIRST OFFICER,Coriolanus,Male,14
ALL CITIZENS,Coriolanus,Male,14
LAURENCE,Romeo and Juliet,Male,14
BRANDON,Henry VIII,Male,14
MESSENGER,Macbeth,Male,14
CLERK,The Merchant of Venice,Male,14
MONTGOMERY,Henry VI Part 3,Male,14
SECOND KEEPER,Henry VI Part 3,Male,14
CINNA THE POET,Julius Caesar,Male,14
SNUG,A Midsummer Night's Dream,Male,14
CHORUS,A Midsummer Night's Dream,Male,14
OFFICER,The Comedy of Errors,Male,14
VALENTINE,Twelfth Night,Male,14
SENTRY,Antony and Cleopatra,Male,14
FIRST GUARD OF CAESAR'S,Antony and Cleopatra,Male,14
FIRST SOLDIER,Antony and Cleopatra,Male,14
PUBLIUS,Titus Andronicus,Male,14
LORD MAYOR,Richard III,Male,14
SCRIVENER,Richard III,Male,14
GENTLEMAN,Hamlet,Male,14
PRIEST,Hamlet,Male,13
SECOND CITIZEN,Richard III,Male,13
FIRST FRENCHMAN,King Edward III,Male,13
SECOND SOLDIER,Antony and Cleopatra,Male,13
SECOND GENTLEMAN,Cymbeline,Male,13
MENELAUS,Troilus and Cressida,Male,13
SERVANT,The Two Noble Kinsmen,Male,13
MONTAGUE,King Edward III,Male,13
ALL,Henry VI Part 2,Male,13
BULLCALF,Henry IV Part 2,Male,13
GAOLER,The Winter's Tale,Male,13
FIRST LORD,Coriolanus,Male,13
ENGLISH HERALD,King John,Male,13
ROBIN,The Merry Wives of Windsor,Male,13
WILLIAM,The Merry Wives of Windsor,Male,12
FRENCH HERALD,King John,Male,12
SECOND GENTLEMAN,Othello,Male,12
ADRIAN,The Tempest,Male,12
FIRST MUSICIAN,Romeo and Juliet,Male,12
JOHN,Romeo and Juliet,Male,12
THIRD CONSPIRATOR,Coriolanus,Male,12
SECOND WATCH,Coriolanus,Male,12
MOULDY,Henry IV Part 2,Male,12
WILLOUGHBY,Richard II,Male,12
OLD MAN,King Lear,Male,12
SERVANT,Henry IV Part 2,Male,12
MENTETH,Macbeth,Male,12
GROOM,Richard II,Male,12
VALERIUS,The Two Noble Kinsmen,Male,12
THIRD SERVINGMAN,The Taming of the Shrew,Male,12
SECOND SERVINGMAN,The Taming of the Shrew,Male,12
BURGUNDY,King Lear,Male,12
ALL,Julius Caesar,Male,12
PINCH,The Comedy of Errors,Male,12
FIRST OFFICER,Twelfth Night,Male,12
SCROOP,Henry V,Male,12
FIRST BROTHER,Cymbeline,Male,12
GREY,Henry V,Male,12
GREY,Richard III,Male,12
ARCHBISHOP,Richard III,Male,12
CAPTAIN,Hamlet,Male,12
JEWELLER,Timon of Athens,Male,12
HORTENSIUS,Timon of Athens,Male,11
MERCHANT,Timon of Athens,Male,11
FIRST BANDIT,Timon of Athens,Male,11
SECOND SERVANT,Timon of Athens,Male,11
VARRO'S SERVANT,Timon of Athens,Male,11
VENTIDIUS,Timon of Athens,Male,11
JAMY,Henry V,Male,11
SECOND GENTLEMAN,Measure for Measure,Male,11
FROTH,Measure for Measure,Male,11
ROMAN CAPTAIN,Cymbeline,Male,11
SILIUS,Antony and Cleopatra,Male,11
BROTHER,The Two Noble Kinsmen,Male,11
FRENCH HERALD,King Edward III,Male,11
CAPTAIN,King Edward III,Male,11
STARVELING,A Midsummer Night's Dream,Male,11
VAUX,Henry VI Part 2,Male,11
MESSENGER,The Merchant of Venice,Male,11
OLD MAN,Macbeth,Male,11
CAPUCHIUS,Henry VIII,Male,11
CATHNESS,Macbeth,Male,11
WESTMORLAND,Henry VI Part 3,Male,11
FIRST MESSENGER,Henry VI Part 2,Male,11
DRAWER,Henry IV Part 2,Male,11
FEEBLE,Henry IV Part 2,Male,11
WILLIAM,As You Like It,Male,11
LORDS,As You Like It,Male,11
MARINER,The Winter's Tale,Male,11
FRANCISCO,The Tempest,Male,11
HERALD,Othello,Male,11
LIEUTENANT TO AUFIDIUS,Coriolanus,Male,11
RUGBY,The Merry Wives of Windsor,Male,11
EVANS as a Satyr,The Merry Wives of Windsor,Male,11
FIRST SERVINGMAN,Romeo and Juliet,Male,10
FIRST BEADLE,Henry IV Part 2,Male,10
SURREY,Richard II,Male,10
HERALD,King Lear,Male,10
GUILFORD,Henry VIII,Male,10
THIRD SERVINGMAN,Henry VI Part 1,Male,10
ABBOT OF WESTMINSTER,Richard II,Male,10
FIRST SERVANT,King Lear,Male,10
CLITUS,Julius Caesar,Male,10
SERVANT,Julius Caesar,Male,10
THIRD FRENCH HERALD,King Edward III,Male,10
THIRD SERVANT,Timon of Athens,Male,10
FRANCISCO,Hamlet,Male,10
FOURTH MESSENGER,Richard III,Male,10
GHOST OF BUCKINGHAM,Richard III,Male,10
NORFOLK,Richard III,Male,10
CARDINAL BOURCHIER,Richard III,Male,9
FIRST SAILOR,Pericles,Male,9
SECOND LORD,Pericles,Male,9
HERALD,The Two Noble Kinsmen,Male,9
FIRST SERVANT,Antony and Cleopatra,Male,9
FIRST POOR FRENCHMAN,King Edward III,Male,9
COSTARD as Pompey,Love's Labour's Lost,Male,9
SOLDIER OF CAESAR'S,Antony and Cleopatra,Male,9
BRITAINE,Henry V,Male,9
BOURBON,Henry V,Male,9
RAMBURES,Henry V,Male,9
SALISBURY,Henry V,Male,9
CICERO,Julius Caesar,Male,9
CURAN,King Lear,Male,9
FIRST HUNTSMAN,The Taming of the Shrew,Male,9
SINGER,The Merchant of Venice,Male,9
MOUNTFORD,King Edward III,Male,9
HERALD,King Edward III,Male,9
THIRD WATCHMAN,Henry VI Part 3,Male,9
SPIRIT,Henry VI Part 2,Male,9
FIRST MAN,Richard II,Male,9
MESSENGER TO WIFE,Macbeth,Male,9
BUTTS,Henry VIII,Male,9
COLEVILE,Henry IV Part 2,Male,9
PAGE,Romeo and Juliet,Male,9
SECOND LORD,Coriolanus,Male,9
SECOND LORD TO FREDERICK,As You Like It,Male,9
MESSENGER,Othello,Male,9
BIGOT,King John,Male,8
FIRST CONSPIRATOR,Coriolanus,Male,8
FIRST PETITIONER,Henry VI Part 2,Male,8
ALL TOGETHER,As You Like It,Male,8
FANG,Henry IV Part 2,Male,8
FRANCIS,Henry IV Part 2,Male,8
GOWER,Henry IV Part 2,Male,8
HARCOURT,Henry IV Part 2,Male,8
SHERIFF,Henry IV Part 1,Male,8
SIR MICHAEL,Henry IV Part 1,Male,8
LANCASTER,Henry IV Part 1,Male,8
FIRST GOTH,Titus Andronicus,Male,8
KEEPER,Henry VIII,Male,8
LINCOLN,Henry VIII,Male,8
DONALBAIN,Macbeth,Male,8
THIRD MURDERER,Macbeth,Male,8
BERKELEY,Richard II,Male,8
MESSENGER,King Edward III,Male,8
FIRST WATCHMAN,Henry VI Part 3,Male,8
STEPHANO,The Merchant of Venice,Male,8
CATO,Julius Caesar,Male,8
TREBONIUS,Julius Caesar,Male,8
FALSTAFF,Henry VI Part 1,Male,8
FIRST FAIRY,A Midsummer Night's Dream,Male,8
PRIEST,Twelfth Night,Male,8
SCALES,Henry VI Part 2,Male,8
HOLOFERNES as presenter,Love's Labour's Lost,Male,8
FIRST SERVANT,Pericles,Male,8
BLUNT,Richard III,Male,8
FIRST CITIZEN,Richard III,Male,8
GHOST OF HENRY VI,Richard III,Male,8
GHOSTS,Richard III,Male,8
KEEPER,Richard III,Male,8
URSWICK,Richard III,Male,8
FIRST SERVANT,Timon of Athens,Male,8
FIRST VARRO'S SERVANT,Timon of Athens,Male,8
ALL THE SERVANTS,Timon of Athens,Male,8
ISIDORE'S SERVANT,Timon of Athens,Male,8
PAGE,Timon of Athens,Male,7
THIRD BANDIT,Timon of Athens,Male,7
POET and PAINTER,Timon of Athens,Male,7
SECOND STRANGER,Timon of Athens,Male,7
CURIO,Twelfth Night,Male,7
THIRD MESSENGER,Richard III,Male,7
GHOST OF CLARENCE,Richard III,Male,7
LORD,Pericles,Male,7
LORD,Hamlet,Male,7
FIRST WEALTHY CITIZEN,King Edward III,Male,7
SECOND SERVANT,Antony and Cleopatra,Male,7
FIRST KNIGHT,The Two Noble Kinsmen,Male,7
SINGER,Cymbeline,Male,7
LORD,Cymbeline,Male,7
ERPINGHAM,Henry V,Male,7
GOVERNOR,Henry V,Male,7
BEDFORD,Henry V,Male,7
FIRST SERVINGMAN,Henry VI Part 1,Male,7
STRATO,Julius Caesar,Male,7
POET,Julius Caesar,Male,7
STANLEY,Henry VI Part 2,Male,7
SECOND WATCHMAN,Henry VI Part 3,Male,7
RIVERS,Henry VI Part 3,Male,7
YOUNG SEYWARD,Macbeth,Male,7
SERVANT,Henry VIII,Male,7
SECOND MESSENGER,Henry VI Part 1,Male,7
MESSENGER,Titus Andronicus,Male,7
FIRST GENTLEMAN,Henry VI Part 2,Male,7
BROTHER,Henry VI Part 2,Male,7
SECOND HERALD,Richard II,Male,7
SECOND CONSPIRATOR,Coriolanus,Male,7
SECOND VOLSCIAN SENATOR,Coriolanus,Male,7
APOTHECARY,Romeo and Juliet,Male,7
PISTOL as Hobgoblin,The Merry Wives of Windsor,Male,7
FIRST SOLDIER,Coriolanus,Male,7
FOURTH CITIZEN,Coriolanus,Male,7
HERALD,Coriolanus,Male,6
FRENCH MESSENGER,King John,Male,6
SECOND MUSICIAN,Romeo and Juliet,Male,6
SERVINGMAN,Romeo and Juliet,Male,6
FIRST PAGE,As You Like It,Male,6
MESSENGER,Henry IV Part 1,Male,6
PETO,Henry IV Part 2,Male,6
CAPTAIN,Titus Andronicus,Male,6
OFFICER,Henry VI Part 1,Male,6
SERVANT,Macbeth,Male,6
ANOTHER LORD,Richard II,Male,6
FIRST HERALD,Richard II,Male,6
SECOND PETITIONER,Henry VI Part 2,Male,6
CAPTAIN,Henry VI Part 1,Male,6
EPILOGUE,All's Well That Ends Well,Male,6
FRIAR THOMAS,Measure for Measure,Male,6
BOY,Measure for Measure,Male,6
MESSENGER,Henry V,Male,6
SECOND FRENCH HERALD,King Edward III,Male,6
SECOND BROTHER,Cymbeline,Male,6
SECOND CAPTAIN,Cymbeline,Male,6
EGYPTIAN,Antony and Cleopatra,Male,6
BOY,Antony and Cleopatra,Male,6
SECOND WATCH,Antony and Cleopatra,Male,6
FIRST WATCH,Antony and Cleopatra,Male,6
MENECRATES,Antony and Cleopatra,Male,6
POST,Henry VI Part 2,Male,6
THIRD PLAYER,Hamlet,Male,6
SAILOR OF TYRE,Pericles,Male,6
SECOND SAILOR,Pericles,Male,6
AMBASSADOR,Hamlet,Male,6
GHOST OF PRINCE EDWARD,Richard III,Male,6
BISHOP OF ELY,Richard III,Male,6
PAGE,Richard III,Male,6
SECOND VARRO'S SERVANT,Timon of Athens,Male,6
SECOND BANDIT,Timon of Athens,Male,6
PHILOTUS,Timon of Athens,Male,6
CUPID,Timon of Athens,Male,6
LUCILIUS,Timon of Athens,Male,5
FIRST GENTLEMAN OF MYTILENE,Pericles,Male,5
FIRST MESSENGER,Richard III,Male,5
GHOST OF HASTINGS,Richard III,Male,5
FIRST LORD OF PENTAPOLIS,Pericles,Male,5
SAILOR,Hamlet,Male,5
SECOND MESSENGER,Henry VI Part 2,Male,5
FRENCH CAPTAIN,King Edward III,Male,5
FORESTER,Love's Labour's Lost,Male,5
FIRST GUARD,Antony and Cleopatra,Male,5
SELEUCUS,Antony and Cleopatra,Male,5
DEMETRIUS,Antony and Cleopatra,Male,5
SECOND WEALTHY CITIZEN,King Edward III,Male,5
GLOUCESTER,Henry V,Male,5
SERVANT,Measure for Measure,Male,5
MUSTARDSEED,A Midsummer Night's Dream,Male,5
SOMERVILLE,Henry VI Part 3,Male,5
MAYOR,Henry VI Part 3,Male,5
SECOND KNIGHT,The Two Noble Kinsmen,Male,5
KEEPER,Richard II,Male,5
SEYTON,Macbeth,Male,5
THIRD APPARITION,Macbeth,Male,5
SCOUT,Henry VI Part 1,Male,5
WOODVILLE,Henry VI Part 1,Male,5
SERGEANT,Henry VIII,Male,5
FIRST MURDERER,Henry VI Part 2,Male,5
SECOND SERVANT,King Lear,Male,5
THIRD SERVANT,King Lear,Male,5
A GOTH,Titus Andronicus,Male,5
SHADOW,Henry IV Part 2,Male,5
SERVINGMAN,Richard II,Male,5
FIRST TRAVELLER,Henry IV Part 1,Male,5
SIR OLIVER,As You Like It,Male,5
SECOND SERVINGMAN,Romeo and Juliet,Male,5
ABRAM,Romeo and Juliet,Male,5
CITIZENS,Romeo and Juliet,Male,5
SECOND SENATOR,Othello,Male,5
BOTH TRIBUNES,Coriolanus,Male,5
FIRST MUSICIAN,Othello,Male,5
FIRST OFFICER,Othello,Male,5
MICHAEL,Henry VI Part 2,Male,4
MAN,Henry VI Part 2,Male,4
CITIZEN,Coriolanus,Male,4
BOTH SERVINGMEN,Coriolanus,Male,4
FIRST VOLSCIAN SOLDIER,Coriolanus,Male,4
SAILOR,Othello,Male,4
FIRST LORD TO FREDERICK,As You Like It,Male,4
MESSENGER,Henry IV Part 2,Male,4
VINTNER,Henry IV Part 1,Male,4
PORTER,Henry IV Part 2,Male,4
WILL,Henry IV Part 2,Male,4
FIRST CITIZEN,Henry VI Part 2,Male,4
MUTIUS,Titus Andronicus,Male,4
VAUX,Henry VIII,Male,4
GENTLEMAN,Henry VIII,Male,4
SCRIBE,Henry VIII,Male,4
MESSENGER,Henry VIII,Male,4
DENNY,Henry VIII,Male,4
SENTINEL,Henry VI Part 1,Male,4
SERGEANT,Henry VI Part 1,Male,4
SOLDIER,Henry VI Part 1,Male,4
SECOND APPARITION,Macbeth,Male,4
MURDERER,Macbeth,Male,4
ALL,Antony and Cleopatra,Male,4
SHERIFF,Henry VI Part 2,Male,4
SERVINGMAN,The Merchant of Venice,Male,4
FIRST PLAYER,The Taming of the Shrew,Male,4
NATHANIEL,The Taming of the Shrew,Male,4
PEASEBLOSSOM,A Midsummer Night's Dream,Male,4
COBWEB,A Midsummer Night's Dream,Male,4
MESSENGER,All's Well That Ends Well,Male,4
BOY,Henry VI Part 1,Male,4
VARRO,Julius Caesar,Male,4
GAOLER,Henry VI Part 1,Male,4
LAWYER,Henry VI Part 1,Male,4
MESSENGER,Julius Caesar,Male,4
FIRST SOLDIER FOR ANTONY,Julius Caesar,Male,4
LEPIDUS,Julius Caesar,Male,4
MESSENGER,Measure for Measure,Male,4
POLONIAN CAPTAIN,King Edward III,Male,4
MESSENGER,Cymbeline,Male,4
FIRST CAPTAIN,Cymbeline,Male,4
BOTH,Cymbeline,Male,4
SECOND OFFICER,Twelfth Night,Male,4
GENTLEMAN,The Two Noble Kinsmen,Male,4
SECOND MESSENGER,Antony and Cleopatra,Male,4
GUARDSMAN,Antony and Cleopatra,Male,4
MARCADE,Love's Labour's Lost,Male,4
NATHANIEL as Alexander,Love's Labour's Lost,Male,4
DOUGLAS,King Edward III,Male,4
THIRD SOLDIER,Antony and Cleopatra,Male,4
VARRIUS,Antony and Cleopatra,Male,4
ARMADO as Hector,Love's Labour's Lost,Male,4
SECOND GENTLEMAN OF MYTILENE,Pericles,Male,4
ALL,Hamlet,Male,4
FIRST KNIGHT,Pericles,Male,4
THIRD LORD,Timon of Athens,Male,4
THIRD SENATOR,Timon of Athens,Male,4
ALL THE BANDITS,Timon of Athens,Male,3
PURSUIVANT,Richard III,Male,3
SECOND MESSENGER,Richard III,Male,3
LORDS,Richard III,Male,3
LOVEL,Richard III,Male,3
CHILDREN,Richard III,Male,3
SAILOR OF MYTILENE,Pericles,Male,3
LORD OF MYTILENE,Pericles,Male,3
KNIGHTS,Pericles,Male,3
FOURTH PLAYER,Hamlet,Male,3
FIRST LORD,Love's Labour's Lost,Male,3
TRIBUNES,Titus Andronicus,Male,3
BOHEMIA,King Edward III,Male,3
SERVANT,Antony and Cleopatra,Male,3
ALL THE GUARDS,Antony and Cleopatra,Male,3
SERVANT,Twelfth Night,Male,3
ATTENDANT,Cymbeline,Male,3
THIRD WATCHMAN,Romeo and Juliet,Male,3
FIRST TRIBUNE,Cymbeline,Male,3
SECOND CITIZEN,King Edward III,Male,3
JUSTICE,Measure for Measure,Male,3
GHOST,Julius Caesar,Male,3
DARDANIUS,Julius Caesar,Male,3
FIRST SOLDIER,Henry VI Part 1,Male,3
FIRST WARDER,Henry VI Part 1,Male,3
VOLUMNIUS,Julius Caesar,Male,3
MARGARELON,Troilus and Cressida,Male,3
CAPTAIN,King Lear,Male,3
SECOND HUNTSMAN,The Taming of the Shrew,Male,3
SERVANT,The Taming of the Shrew,Male,3
NORFOLK,Henry VI Part 3,Male,3
TUTOR,Henry VI Part 3,Male,3
LIEUTENANT,Henry VI Part 3,Male,3
MURDERERS,Macbeth,Male,3
LORDS,Macbeth,Male,3
CRIER,Henry VIII,Male,3
GARTER,Henry VIII,Male,3
ALL LORDS,Macbeth,Male,3
FIRST NEIGHBOUR,Henry VI Part 2,Male,3
CLERK,Henry VI Part 2,Male,3
SNARE,Henry IV Part 2,Male,3
A ROMAN,Titus Andronicus,Male,3
SERVANT,Henry IV Part 1,Male,3
DENNIS,As You Like It,Male,3
SECOND PAGE,As You Like It,Male,3
MASTER,The Tempest,Male,3
LORDS,The Winter's Tale,Male,3
COUSIN CAPULET,Romeo and Juliet,Male,3
FOURTH SERVINGMAN,Romeo and Juliet,Male,3
SEVENTH CITIZEN,Coriolanus,Male,3
GENTLEMAN,Othello,Male,3
ESSEX,King John,Male,3
CITIZENS,Coriolanus,Male,3
ALL THE PEOPLE,Coriolanus,Male,3
FIRST GENTLEMAN,Othello,Male,3
FOURTH GENTLEMAN,Othello,Male,2
"PAGE, SHALLOW, and SLENDER",The Merry Wives of Windsor,Male,2
JOHN,The Merry Wives of Windsor,Male,2
FIRST PRENTICE,Henry VI Part 2,Male,2
HERALD,Henry VI Part 2,Male,2
ALL,The Merry Wives of Windsor,Male,2
MAYOR,Henry VI Part 2,Male,2
BOY,Much Ado About Nothing,Male,2
ALL SENATORS,Coriolanus,Male,2
ALL SOLDIERS,Coriolanus,Male,2
ALL CONSPIRATORS,Coriolanus,Male,2
ALL LORDS,Coriolanus,Male,2
BOY,Coriolanus,Male,2
FIFTH CITIZEN,Coriolanus,Male,2
EXECUTIONER,King John,Male,2
SIXTH CITIZEN,Coriolanus,Male,2
THIRD LORD,Coriolanus,Male,2
SECOND SENATOR,Coriolanus,Male,2
PATRICIAN,Coriolanus,Male,2
CITIZEN,Romeo and Juliet,Male,2
ALL GHOSTS,Richard III,Male,2
SECOND LORD,As You Like It,Male,2
LORD,As You Like It,Male,2
ALL,Titus Andronicus,Male,2
WART,Henry IV Part 2,Male,2
THIRD GROOM,Henry IV Part 2,Male,2
ALL,Pericles,Male,2
BEADLE,Henry VI Part 2,Male,2
COMMONS,Henry VI Part 2,Male,2
ALL,Macbeth,Male,2
SECRETARY,Henry VIII,Male,2
WATCH,Henry VI Part 1,Male,2
SERVINGMEN,Henry VI Part 1,Male,2
SECOND SERVINGMAN,Henry VI Part 1,Male,2
FLEANCE,Macbeth,Male,2
FIRST APPARITION,Macbeth,Male,2
MAN,Richard II,Male,2
HUNTSMAN,Henry VI Part 3,Male,2
NOBLEMAN,Henry VI Part 3,Male,2
ALL SOLDIERS,Antony and Cleopatra,Male,2
PALAMON and ARCITE,The Two Noble Kinsmen,Male,2
SECOND MURDERER,Henry VI Part 2,Male,2
SECOND NEIGHBOUR,Henry VI Part 2,Male,2
SOLDIER,Henry VI Part 3,Male,2
SECOND PRENTICE,Henry VI Part 2,Male,2
SERVANT,Henry VI Part 2,Male,2
THIRD NEIGHBOUR,Henry VI Part 2,Male,2
PETER,The Taming of the Shrew,Male,2
LEONARDO,The Merchant of Venice,Male,2
MAN,The Merchant of Venice,Male,2
SOLDIERS,Troilus and Cressida,Male,2
MOTH,A Midsummer Night's Dream,Male,2
SECOND FAIRY,A Midsummer Night's Dream,Male,2
SECOND SOLDIER,All's Well That Ends Well,Male,2
DEIPHOBUS,Troilus and Cressida,Male,2
ALL,Troilus and Cressida,Male,2
BOY,Troilus and Cressida,Male,2
VARRO and CLAUDIUS,Julius Caesar,Male,2
GARGRAVE,Henry VI Part 1,Male,2
CLAUDIUS,Julius Caesar,Male,2
POPILIUS,Julius Caesar,Male,2
PUBLIUS,Julius Caesar,Male,2
SECOND SOLDIER,Julius Caesar,Male,2
COURT,Henry V,Male,2
YORK,Henry V,Male,2
BROTHERS,Cymbeline,Male,2
SECOND GUARD,Antony and Cleopatra,Male,2
SECOND GUARD OF CAESAR'S,Antony and Cleopatra,Male,2
GALLUS,Antony and Cleopatra,Male,2
ALL CITIZENS,King Edward III,Male,2
GOBIN,King Edward III,Male,2
ROMANS,Titus Andronicus,Male,2
HORATIO and MARCELLUS,Hamlet,Male,2
HIS FOLLOWERS,Hamlet,Male,2
ROSENCRANTZ and GUILDENSTERN,Hamlet,Male,2
FIRST PIRATE,Pericles,Male,2
SECOND LORD OF PENTAPOLIS,Pericles,Male,2
ALL LORDS,Hamlet,Male,2
THIRD PIRATE,Pericles,Male,2
THIRD LORD,Pericles,Male,2
GENTLEMAN,Richard III,Male,2
GHOST OF RIVERS,Richard III,Male,2
GHOST OF VAUGHAN,Richard III,Male,2
SHERIFF,Richard III,Male,2
PRIEST,Richard III,Male,2
OXFORD,Richard III,Male,2
ESCANES,Pericles,Male,2
FIRST GENTLEMAN OF TYRE,Pericles,Male,1
VAUGHAN,Richard III,Male,1
SURREY,Richard III,Male,1
GHOST OF GREY,Richard III,Male,1
HERBERT,Richard III,Male,1
FIRST and SECOND MURDERER,Richard III,Male,1
THIRD LORD OF PENTAPOLIS,Pericles,Male,1
SECOND PIRATE,Pericles,Male,1
THIRD KNIGHT,Pericles,Male,1
SECOND KNIGHT,Pericles,Male,1
MARSHAL,Pericles,Male,1
MESSENGER,Pericles,Male,1
PERICLES and THAISA,Pericles,Male,1
PHILEMON,Pericles,Male,1
MARCELLUS and BARNARDO,Hamlet,Male,1
VOICES,Hamlet,Male,1
VOLTEMAND and CORNELIUS,Hamlet,Male,1
ALL,Timon of Athens,Male,1
GENTLEMEN,Hamlet,Male,1
ALL THE LORDS,Timon of Athens,Male,1
BOTH SENATORS,Timon of Athens,Male,1
BOTH VARRO'S SERVANTS,Timon of Athens,Male,1
FOURTH SENATOR,Timon of Athens,Male,1
LUCULLUS and LUCIUS,Timon of Athens,Male,1
OTHERS,Timon of Athens,Male,1
THIRD STRANGER,Timon of Athens,Male,1
SOME,Timon of Athens,Male,1
SERVANTS,Timon of Athens,Male,1
ALL,Henry VI Part 3,Male,1
FIRST MESSENGER,Henry VI Part 3,Male,1
THIRD GUARD,Antony and Cleopatra,Male,1
TAURUS,Antony and Cleopatra,Male,1
SECOND GENTLEMAN,Henry VI Part 2,Male,1
FIRST ESQUIRE,King Edward III,Male,1
ALL FRENCHMEN,King Edward III,Male,1
HOLOFERNES as Judas,Love's Labour's Lost,Male,1
MAECENAS and AGRIPPA,Antony and Cleopatra,Male,1
FIRST ATTENDANT,Antony and Cleopatra,Male,1
FOURTH SOLDIER,Antony and Cleopatra,Male,1
SECOND ATTENDANT,Antony and Cleopatra,Male,1
ALL THE SERVANTS,Antony and Cleopatra,Male,1
ALL THE SOLDIERS,Antony and Cleopatra,Male,1
ALL THE TRIUMVIRS,Antony and Cleopatra,Male,1
CAPTAIN,Antony and Cleopatra,Male,1
ALL THE OTHERS,The Two Noble Kinsmen,Male,1
ALL THREE KNIGHTS,The Two Noble Kinsmen,Male,1
BAVIAN,The Two Noble Kinsmen,Male,1
CLOTEN and LORDS,Cymbeline,Male,1
ALL,Cymbeline,Male,1
WARWICK,Henry V,Male,1
A LORD,Much Ado About Nothing,Male,1
LORDS,Coriolanus,Male,1
GUIDERIUS and ARVIRAGUS,Cymbeline,Male,1
SECOND GAOLER,Cymbeline,Male,1
ALL SERVANTS,The Taming of the Shrew,Male,1
ALL SERVINGMEN,The Taming of the Shrew,Male,1
GAOLER,The Comedy of Errors,Male,1
SECOND SENATOR,Cymbeline,Male,1
ALL,Henry V,Male,1
ANGELO and ESCALUS,Measure for Measure,Male,1
SECOND ESQUIRE,King Edward III,Male,1
SECOND MESSENGER,King Edward III,Male,1
LORDS,Henry V,Male,1
GREY and SCROOP,Henry V,Male,1
HERALD,Henry V,Male,1
THIRD SOLDIER,Julius Caesar,Male,1
PLEBEIANS,Julius Caesar,Male,1
FIRST SOLDIER,Julius Caesar,Male,1
GLANSDALE,Henry VI Part 1,Male,1
FIRST SENTINEL,Henry VI Part 1,Male,1
LEGATE,Henry VI Part 1,Male,1
TITINIUS and MESSALA,Julius Caesar,Male,1
ALL,Henry VI Part 1,Male,1
MYRMIDONS,Troilus and Cressida,Male,1
MAN,Troilus and Cressida,Male,1
PAGE,All's Well That Ends Well,Male,1
BOTH LORDS,All's Well That Ends Well,Male,1
FOURTH LORD,All's Well That Ends Well,Male,1
CARPENTER,Julius Caesar,Male,1
ALL FAIRIES,A Midsummer Night's Dream,Male,1
ALL MECHANICALS,A Midsummer Night's Dream,Male,1
ALL SOLDIERS,All's Well That Ends Well,Male,1
ALL THE LORDS,All's Well That Ends Well,Male,1
ATTENDANT,All's Well That Ends Well,Male,1
PHILIP,The Taming of the Shrew,Male,1
PLAYERS,The Taming of the Shrew,Male,1
SERVINGMAN,The Taming of the Shrew,Male,1
ALL,The Merchant of Venice,Male,1
BALTHASAR,The Merchant of Venice,Male,1
ALBANY and CORNWALL,King Lear,Male,1
NICHOLAS,The Taming of the Shrew,Male,1
GRUMIO and BIONDELLO,The Taming of the Shrew,Male,1
HABERDASHER,The Taming of the Shrew,Male,1
JOSEPH,The Taming of the Shrew,Male,1
FIRST SERVINGMAN OF PETRUCHIO,The Taming of the Shrew,Male,1
GREMIO and TRANIO,The Taming of the Shrew,Male,1
WARWICK and SALISBURY,Henry VI Part 2,Male,1
SOLDIER,Henry VI Part 2,Male,1
SIR JOHN,Henry VI Part 3,Male,1
SECOND MESSENGER,Henry VI Part 3,Male,1
THIRD KNIGHT,The Two Noble Kinsmen,Male,1
TABORER,The Two Noble Kinsmen,Male,1
ALL ATTENDANTS,Antony and Cleopatra,Male,1
ALL CAESAR'S ATTENDANTS,Antony and Cleopatra,Male,1
ALL LORDS,Antony and Cleopatra,Male,1
ALL,Richard II,Male,1
SERVANT,The Two Gentlemen of Verona,Male,1
OUTLAWS,The Two Gentlemen of Verona,Male,1
MACBETH and LENNOX,Macbeth,Male,1
SOLDIERS,Macbeth,Male,1
SECOND WARDER,Henry VI Part 1,Male,1
SERVANT,Henry VI Part 1,Male,1
PORTER,Henry VI Part 1,Male,1
ALL,Henry VIII,Male,1
PAGE,Henry VIII,Male,1
SECOND and THIRD GENTLEMEN,Henry VIII,Male,1
EDWARD,Henry VI Part 2,Male,1
MARTIUS and QUINTUS,Titus Andronicus,Male,1
ALL PETITIONERS,Henry VI Part 2,Male,1
SECOND OFFICER,King Lear,Male,1
ALL LORDS,Pericles,Male,1
